ntasks,algo,freq,total_time_s,task_id,work_time_s,switch_time_s,load_balancer_time_s,returncode
8,gilbert,125,102.068537,4,15.685663,76.569576,0.217556,0
8,gilbert,125,102.068537,3,13.425114,84.373772,0.227794,0
8,gilbert,125,102.068537,2,13.605871,84.167052,0.22999,0
8,gilbert,125,102.068537,0,16.272242,80.386955,0.216261,0
8,gilbert,125,102.068537,1,12.698625,85.062326,0.239877,0
8,gilbert,125,102.068537,5,13.137946,76.383605,0.207589,0
8,gilbert,125,102.068537,6,13.098414,75.824245,0.205924,0
8,gilbert,125,102.068537,7,11.90401,76.363156,0.213651,0
8,hilbert,125,100.94953,6,13.483831,75.00192,0.113904,0
8,hilbert,125,100.94953,4,14.779248,76.049015,0.10869,0
8,hilbert,125,100.94953,7,11.829439,75.564548,0.116266,0
8,hilbert,125,100.94953,5,13.117982,76.718967,0.126459,0
8,hilbert,125,100.94953,2,13.910742,83.231621,0.150968,0
8,hilbert,125,100.94953,3,12.994669,84.18891,0.155739,0
8,hilbert,125,100.94953,1,13.517154,83.619526,0.155752,0
8,hilbert,125,100.94953,0,16.397037,79.525705,0.126273,0
8,rcb,125,103.35226,2,13.271656,87.180918,0.189694,0
8,rcb,125,103.35226,3,6.913991,93.551735,0.228887,0
8,rcb,125,103.35226,1,11.004445,89.448805,0.208511,0
8,rcb,125,103.35226,0,25.642875,75.100119,0.119761,0
8,rcb,125,103.35226,7,6.974789,86.518218,0.216821,0
8,rcb,125,103.35226,5,10.04475,83.971988,0.201046,0
8,rcb,125,103.35226,4,22.475068,69.413988,0.102712,0
8,rcb,125,103.35226,6,12.869412,79.963056,0.16943,0
8,rcbincr,125,102.572322,2,14.123897,85.638777,0.175841,0
8,rcbincr,125,102.572322,1,11.264823,88.494185,0.199059,0
8,rcbincr,125,102.572322,3,7.377027,92.397067,0.217394,0
8,rcbincr,125,102.572322,0,25.96076,74.045273,0.110407,0
8,rcbincr,125,102.572322,5,9.764609,83.35746,0.193122,0
8,rcbincr,125,102.572322,7,6.53492,86.16446,0.211703,0
8,rcbincr,125,102.572322,6,12.047852,80.298716,0.173449,0
8,rcbincr,125,102.572322,4,21.903491,69.308472,0.103867,0
