ntasks,total_time_s,task_id,work_time_s,switch_time_s
2,37.695102,1,37.550674,0.00533
2,37.695102,0,22.540449,12.013757
4,22.606649,1,15.011525,6.025366
4,22.606649,2,15.009785,6.026983
4,22.606649,0,7.499537,12.035861
4,22.606649,3,22.53939,0.003498
8,12.224523,6,10.350502,1.472425
8,12.224523,1,4.69006,5.632878
8,12.224523,0,2.798021,6.400874
8,12.224523,7,12.18871,0.001806
8,12.224523,3,8.46118,2.616177
8,12.224523,5,8.432099,3.007203
8,12.224523,4,6.57966,4.489131
8,12.224523,2,6.550416,3.39958
16,6.571977,5,3.737931,1.69811
16,6.571977,2,1.868936,3.00806
16,6.571977,15,6.552209,0.000908
16,6.571977,4,2.811704,2.439098
16,6.571977,7,4.69423,1.304313
16,6.571977,10,3.737876,1.69813
16,6.571977,12,4.714707,1.470861
16,6.571977,1,1.86924,3.007687
16,6.571977,11,4.694358,1.304091
16,6.571977,8,2.811926,2.43911
16,6.571977,9,3.767527,2.04572
16,6.571977,14,5.637121,0.733162
16,6.571977,0,0.925433,3.389132
16,6.571977,6,3.767469,2.04592
16,6.571977,13,5.636939,0.733306
16,6.571977,3,2.820904,2.618971
32,3.392372,28,2.712232,0.535276
32,3.392372,29,2.925002,0.365088
32,3.392372,1,0.580882,1.324665
32,3.392372,19,2.0022,0.972897
32,3.392372,22,2.239181,0.82253
32,3.392372,14,2.229083,0.516137
32,3.392372,3,1.055879,1.131558
32,3.392372,2,0.813414,1.185951
32,3.392372,7,1.52889,1.123134
32,3.392372,16,1.288106,1.268535
32,3.392372,6,1.292256,1.173071
32,3.392372,9,1.528982,0.983665
32,3.392372,17,1.524033,1.166371
32,3.392372,5,1.052425,1.364944
32,3.392372,13,2.002226,0.8806
32,3.392372,30,3.172312,0.167167
32,3.392372,20,1.759738,1.021127
32,3.392372,10,1.744938,0.533636
32,3.392372,11,1.993433,0.612127
32,3.392372,21,1.978733,0.845977
32,3.392372,8,1.283125,0.903069
32,3.392372,15,2.464963,0.510475
32,3.392372,18,1.765543,1.070061
32,3.392372,23,2.455381,0.649669
32,3.392372,25,2.475572,0.682976
32,3.392372,24,2.238866,0.783504
32,3.392372,27,2.936415,0.314292
32,3.392372,31,3.380465,0.000679
32,3.392372,26,2.70076,0.414077
32,3.392372,0,0.344143,1.323069
32,3.392372,12,1.765688,0.88681
32,3.392372,4,0.816564,1.322793
64,1.750654,6,0.468761,0.474223
64,1.750654,39,1.060816,0.415376
64,1.750654,42,0.927601,0.315935
64,1.750654,45,1.179128,0.365253
64,1.750654,59,1.521683,0.156535
64,1.750654,41,0.942453,0.442056
64,1.750654,63,1.742365,0.000606
64,1.750654,37,0.942529,0.441955
64,1.750654,55,1.521655,0.156495
64,1.750654,36,0.824038,0.468406
64,1.750654,52,1.297338,0.291918
64,1.750654,38,0.942482,0.442061
64,1.750654,54,1.415698,0.241367
64,1.750654,60,1.534199,0.167075
64,1.750654,0,0.113046,0.47469
64,1.750654,57,1.415684,0.241384
64,1.750654,26,0.94253,0.441859
64,1.750654,7,0.587382,0.474184
64,1.750654,2,0.230769,0.475203
64,1.750654,29,1.169513,0.237194
64,1.750654,32,0.583218,0.477409
64,1.750654,17,0.700789,0.407148
64,1.750654,30,1.179152,0.320617
64,1.750654,22,0.942354,0.373782
64,1.750654,3,0.350523,0.474127
64,1.750654,35,0.82389,0.468535
64,1.750654,14,0.705545,0.471702
64,1.750654,62,1.639109,0.083134
64,1.750654,49,1.179127,0.365209
64,1.750654,48,1.060756,0.415315
64,1.750654,56,1.297348,0.291904
64,1.750654,58,1.404173,0.206498
64,1.750654,43,1.052166,0.354222
64,1.750654,51,1.297398,0.314873
64,1.750654,61,1.639152,0.083141
64,1.750654,53,1.404171,0.20644
64,1.750654,44,1.060735,0.36903
64,1.750654,47,1.286898,0.279044
64,1.750654,40,0.817884,0.403724
64,1.750654,46,1.169419,0.282009
64,1.750654,50,1.179065,0.365345
64,1.750654,34,0.7006,0.475657
64,1.750654,21,0.927548,0.247787
64,1.750654,25,0.942333,0.39738
64,1.750654,27,1.060818,0.415308
64,1.750654,15,0.823689,0.468868
64,1.750654,8,0.348151,0.476045
64,1.750654,33,0.705535,0.471685
64,1.750654,28,1.060628,0.324428
64,1.750654,19,0.82401,0.468461
64,1.750654,23,1.051928,0.286034
64,1.750654,24,0.823815,0.46868
64,1.750654,1,0.230739,0.475208
64,1.750654,18,0.705544,0.445888
64,1.750654,13,0.70554,0.471681
64,1.750654,9,0.468808,0.474213
64,1.750654,16,0.583185,0.47757
64,1.750654,5,0.465678,0.476571
64,1.750654,31,1.287004,0.234264
64,1.750654,20,0.817991,0.335359
64,1.750654,10,0.465587,0.476733
64,1.750654,4,0.348225,0.475937
64,1.750654,11,0.587299,0.47428
64,1.750654,12,0.58731,0.474234
