ntasks,algo,freq,total_time_s,task_id,work_time_s,switch_time_s,load_balancer_time_s
2,hilbert,1,32.088048,1,31.494394,0.00382,0.44124
2,hilbert,1,32.088048,0,28.603857,0.004987,3.330583
2,gilbert,1,32.462692,1,31.493191,0.00428,0.816889
2,gilbert,1,32.462692,0,28.602913,0.005692,3.705497
2,rcb,1,32.068138,1,31.874367,0.006288,0.036136
2,rcb,1,32.068138,0,28.223103,0.005313,3.688064
2,rcbincr,1,32.085217,1,31.879147,0.006592,0.048385
2,rcbincr,1,32.085217,0,28.21893,0.005402,3.709984
4,hilbert,1,17.058822,3,16.518834,0.006955,0.429867
4,hilbert,1,17.058822,0,13.315515,0.009302,3.63141
4,hilbert,1,17.058822,1,14.994131,0.002871,1.958804
4,hilbert,1,17.058822,2,15.235054,0.006426,1.714556
4,gilbert,1,17.543743,0,13.31483,0.004538,4.122406
4,gilbert,1,17.543743,1,14.994249,0.005143,2.442818
4,gilbert,1,17.543743,2,15.235367,0.019934,2.186464
4,gilbert,1,17.543743,3,16.519985,0.019742,0.902131
4,rcb,1,16.933084,1,15.101386,0.005716,1.729827
4,rcb,1,16.933084,3,16.759253,0.006762,0.070775
4,rcb,1,16.933084,2,15.088989,0.01019,1.737672
4,rcb,1,16.933084,0,13.118406,0.004162,3.714216
4,rcbincr,1,16.945288,1,15.109016,0.007771,1.731395
4,rcbincr,1,16.945288,2,15.083703,0.01192,1.752769
4,rcbincr,1,16.945288,3,16.753615,0.010665,0.083902
4,rcbincr,1,16.945288,0,13.124173,0.003515,3.720489
8,hilbert,1,8.952891,0,6.566101,0.005695,2.309321
8,hilbert,1,8.952891,4,7.468667,0.002191,1.410156
8,hilbert,1,8.952891,7,8.227031,0.003251,0.651075
8,hilbert,1,8.952891,1,6.945184,0.002758,1.933423
8,hilbert,1,8.952891,2,7.313904,0.004268,1.563193
8,hilbert,1,8.952891,3,7.617295,0.003385,1.260537
8,hilbert,1,8.952891,5,7.626534,0.003751,1.251075
