ntasks,algo,freq,task,alloced,allocs,concurrent,freed,frees
2,hilbert,1,0,5439592,14,3211320,5439592,14
2,hilbert,1,1,5439592,14,3211320,5439592,14
2,gilbert,1,0,5439592,14,3211320,5439592,14
2,gilbert,1,1,5439592,14,3211320,5439592,14
2,rcb,1,0,2097208,2,2097208,2097208,2
2,rcb,1,1,2097208,2,2097208,2097208,2
2,rcbincr,1,0,2097424,5,2097280,2097352,4
2,rcbincr,1,1,2097424,5,2097280,2097352,4
4,hilbert,1,0,6553720,18,3211320,6553720,18
4,hilbert,1,1,6553720,18,3211320,6553720,18
4,hilbert,1,2,6553720,18,3211320,6553720,18
4,hilbert,1,3,6553720,18,3211320,6553720,18
4,gilbert,1,0,6553720,18,3211320,6553720,18
4,gilbert,1,1,6553720,18,3211320,6553720,18
4,gilbert,1,2,6553720,18,3211320,6553720,18
4,gilbert,1,3,6553720,18,3211320,6553720,18
4,rcb,1,0,2097208,2,2097208,2097208,2
4,rcb,1,1,2097208,2,2097208,2097208,2
4,rcb,1,2,2097208,2,2097208,2097208,2
4,rcb,1,3,2097208,2,2097208,2097208,2
4,rcbincr,1,0,2097640,8,2097352,2097496,6
4,rcbincr,1,1,2097640,8,2097352,2097496,6
4,rcbincr,1,2,2097640,8,2097352,2097496,6
4,rcbincr,1,3,2097640,8,2097352,2097496,6
8,hilbert,1,0,6553720,18,3211320,6553720,18
8,hilbert,1,1,6553720,18,3211320,6553720,18
8,hilbert,1,2,6553720,18,3211320,6553720,18
8,hilbert,1,3,6553720,18,3211320,6553720,18
8,hilbert,1,4,6553720,18,3211320,6553720,18
8,hilbert,1,5,6553720,18,3211320,6553720,18
8,hilbert,1,6,6553720,18,3211320,6553720,18
8,hilbert,1,7,6553720,18,3211320,6553720,18
8,gilbert,1,0,5439592,14,3211320,5439592,14
8,gilbert,1,1,5439592,14,3211320,5439592,14
8,gilbert,1,2,5439592,14,3211320,5439592,14
8,gilbert,1,3,5439592,14,3211320,5439592,14
8,gilbert,1,4,5439592,14,3211320,5439592,14
8,gilbert,1,5,5439592,14,3211320,5439592,14
8,gilbert,1,6,5439592,14,3211320,5439592,14
8,gilbert,1,7,5439592,14,3211320,5439592,14
8,rcb,1,0,2097208,2,2097208,2097208,2
8,rcb,1,1,2097208,2,2097208,2097208,2
8,rcb,1,2,2097208,2,2097208,2097208,2
8,rcb,1,3,2097208,2,2097208,2097208,2
8,rcb,1,4,2097208,2,2097208,2097208,2
8,rcb,1,5,2097208,2,2097208,2097208,2
8,rcb,1,6,2097208,2,2097208,2097208,2
8,rcb,1,7,2097208,2,2097208,2097208,2
8,rcbincr,1,0,2098072,14,2097496,2097784,10
8,rcbincr,1,1,2098072,14,2097496,2097784,10
8,rcbincr,1,2,2098072,14,2097496,2097784,10
8,rcbincr,1,3,2098072,14,2097496,2097784,10
8,rcbincr,1,4,2098072,14,2097496,2097784,10
8,rcbincr,1,5,2098072,14,2097496,2097784,10
8,rcbincr,1,6,2098072,14,2097496,2097784,10
8,rcbincr,1,7,2098072,14,2097496,2097784,10
16,hilbert,1,0,6553720,18,3211320,6553720,18
16,hilbert,1,1,6553720,18,3211320,6553720,18
16,hilbert,1,2,6553720,18,3211320,6553720,18
16,hilbert,1,3,6553720,18,3211320,6553720,18
16,hilbert,1,4,6553720,18,3211320,6553720,18
16,hilbert,1,5,6553720,18,3211320,6553720,18
16,hilbert,1,6,6553720,18,3211320,6553720,18
16,hilbert,1,7,6553720,18,3211320,6553720,18
16,hilbert,1,8,6553720,18,3211320,6553720,18
16,hilbert,1,9,6553720,18,3211320,6553720,18
16,hilbert,1,10,6553720,18,3211320,6553720,18
16,hilbert,1,11,6553720,18,3211320,6553720,18
16,hilbert,1,12,6553720,18,3211320,6553720,18
16,hilbert,1,13,6553720,18,3211320,6553720,18
16,hilbert,1,14,6553720,18,3211320,6553720,18
16,hilbert,1,15,6553720,18,3211320,6553720,18
16,gilbert,1,0,6553720,18,3211320,6553720,18
16,gilbert,1,1,6553720,18,3211320,6553720,18
16,gilbert,1,2,6553720,18,3211320,6553720,18
16,gilbert,1,3,6553720,18,3211320,6553720,18
16,gilbert,1,4,6553720,18,3211320,6553720,18
16,gilbert,1,5,6553720,18,3211320,6553720,18
16,gilbert,1,6,6553720,18,3211320,6553720,18
16,gilbert,1,7,6553720,18,3211320,6553720,18
16,gilbert,1,8,6553720,18,3211320,6553720,18
16,gilbert,1,9,6553720,18,3211320,6553720,18
16,gilbert,1,10,6553720,18,3211320,6553720,18
16,gilbert,1,11,6553720,18,3211320,6553720,18
16,gilbert,1,12,6553720,18,3211320,6553720,18
16,gilbert,1,13,6553720,18,3211320,6553720,18
16,gilbert,1,14,6553720,18,3211320,6553720,18
16,gilbert,1,15,6553720,18,3211320,6553720,18
16,rcb,1,0,2097208,2,2097208,2097208,2
16,rcb,1,1,2097208,2,2097208,2097208,2
16,rcb,1,2,2097208,2,2097208,2097208,2
16,rcb,1,3,2097208,2,2097208,2097208,2
16,rcb,1,4,2097208,2,2097208,2097208,2
16,rcb,1,5,2097208,2,2097208,2097208,2
16,rcb,1,6,2097208,2,2097208,2097208,2
16,rcb,1,7,2097208,2,2097208,2097208,2
16,rcb,1,8,2097208,2,2097208,2097208,2
16,rcb,1,9,2097208,2,2097208,2097208,2
16,rcb,1,10,2097208,2,2097208,2097208,2
16,rcb,1,11,2097208,2,2097208,2097208,2
16,rcb,1,12,2097208,2,2097208,2097208,2
16,rcb,1,13,2097208,2,2097208,2097208,2
16,rcb,1,14,2097208,2,2097208,2097208,2
16,rcb,1,15,2097208,2,2097208,2097208,2
16,rcbincr,1,0,2099512,34,2097784,2098936,26
16,rcbincr,1,1,2099512,34,2097784,2098936,26
16,rcbincr,1,2,2099512,34,2097784,2098936,26
16,rcbincr,1,3,2099512,34,2097784,2098936,26
16,rcbincr,1,4,2099512,34,2097784,2098936,26
16,rcbincr,1,5,2099512,34,2097784,2098936,26
16,rcbincr,1,6,2099512,34,2097784,2098936,26
16,rcbincr,1,7,2099512,34,2097784,2098936,26
16,rcbincr,1,8,2099512,34,2097784,2098936,26
16,rcbincr,1,9,2099512,34,2097784,2098936,26
16,rcbincr,1,10,2099512,34,2097784,2098936,26
16,rcbincr,1,11,2099512,34,2097784,2098936,26
16,rcbincr,1,12,2099512,34,2097784,2098936,26
16,rcbincr,1,13,2099512,34,2097784,2098936,26
16,rcbincr,1,14,2099512,34,2097784,2098936,26
16,rcbincr,1,15,2099512,34,2097784,2098936,26
32,hilbert,1,0,7667848,22,3211320,7667848,22
32,hilbert,1,1,7667848,22,3211320,7667848,22
32,hilbert,1,2,7667848,22,3211320,7667848,22
32,hilbert,1,3,7667848,22,3211320,7667848,22
32,hilbert,1,4,7667848,22,3211320,7667848,22
32,hilbert,1,5,7667848,22,3211320,7667848,22
32,hilbert,1,6,7667848,22,3211320,7667848,22
32,hilbert,1,7,7667848,22,3211320,7667848,22
32,hilbert,1,8,7667848,22,3211320,7667848,22
32,hilbert,1,9,7667848,22,3211320,7667848,22
32,hilbert,1,10,7667848,22,3211320,7667848,22
32,hilbert,1,11,7667848,22,3211320,7667848,22
32,hilbert,1,12,7667848,22,3211320,7667848,22
32,hilbert,1,13,7667848,22,3211320,7667848,22
32,hilbert,1,14,7667848,22,3211320,7667848,22
32,hilbert,1,15,7667848,22,3211320,7667848,22
32,hilbert,1,16,7667848,22,3211320,7667848,22
32,hilbert,1,17,7667848,22,3211320,7667848,22
32,hilbert,1,18,7667848,22,3211320,7667848,22
32,hilbert,1,19,7667848,22,3211320,7667848,22
32,hilbert,1,20,7667848,22,3211320,7667848,22
32,hilbert,1,21,7667848,22,3211320,7667848,22
32,hilbert,1,22,7667848,22,3211320,7667848,22
32,hilbert,1,23,7667848,22,3211320,7667848,22
32,hilbert,1,24,7667848,22,3211320,7667848,22
32,hilbert,1,25,7667848,22,3211320,7667848,22
32,hilbert,1,26,7667848,22,3211320,7667848,22
32,hilbert,1,27,7667848,22,3211320,7667848,22
32,hilbert,1,28,7667848,22,3211320,7667848,22
32,hilbert,1,29,7667848,22,3211320,7667848,22
32,hilbert,1,30,7667848,22,3211320,7667848,22
32,hilbert,1,31,7667848,22,3211320,7667848,22
32,gilbert,1,0,7667848,22,3211320,7667848,22
32,gilbert,1,1,7667848,22,3211320,7667848,22
32,gilbert,1,2,7667848,22,3211320,7667848,22
32,gilbert,1,3,7667848,22,3211320,7667848,22
32,gilbert,1,4,7667848,22,3211320,7667848,22
32,gilbert,1,5,7667848,22,3211320,7667848,22
32,gilbert,1,6,7667848,22,3211320,7667848,22
32,gilbert,1,7,7667848,22,3211320,7667848,22
32,gilbert,1,8,7667848,22,3211320,7667848,22
32,gilbert,1,9,7667848,22,3211320,7667848,22
32,gilbert,1,10,7667848,22,3211320,7667848,22
32,gilbert,1,11,7667848,22,3211320,7667848,22
32,gilbert,1,12,7667848,22,3211320,7667848,22
32,gilbert,1,13,7667848,22,3211320,7667848,22
32,gilbert,1,14,7667848,22,3211320,7667848,22
32,gilbert,1,15,7667848,22,3211320,7667848,22
32,gilbert,1,16,7667848,22,3211320,7667848,22
32,gilbert,1,17,7667848,22,3211320,7667848,22
32,gilbert,1,18,7667848,22,3211320,7667848,22
32,gilbert,1,19,7667848,22,3211320,7667848,22
32,gilbert,1,20,7667848,22,3211320,7667848,22
32,gilbert,1,21,7667848,22,3211320,7667848,22
32,gilbert,1,22,7667848,22,3211320,7667848,22
32,gilbert,1,23,7667848,22,3211320,7667848,22
32,gilbert,1,24,7667848,22,3211320,7667848,22
32,gilbert,1,25,7667848,22,3211320,7667848,22
32,gilbert,1,26,7667848,22,3211320,7667848,22
32,gilbert,1,27,7667848,22,3211320,7667848,22
32,gilbert,1,28,7667848,22,3211320,7667848,22
32,gilbert,1,29,7667848,22,3211320,7667848,22
32,gilbert,1,30,7667848,22,3211320,7667848,22
32,gilbert,1,31,7667848,22,3211320,7667848,22
32,rcb,1,0,2097208,2,2097208,2097208,2
32,rcb,1,1,2097208,2,2097208,2097208,2
32,rcb,1,2,2097208,2,2097208,2097208,2
32,rcb,1,3,2097208,2,2097208,2097208,2
32,rcb,1,4,2097208,2,2097208,2097208,2
32,rcb,1,5,2097208,2,2097208,2097208,2
