ntasks,algo,freq,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
2,hilbert,1,1,0,0,147568,0,295136,2,616536,12
2,hilbert,1,1,1,0,0,147568,295136,2,1151704,18
2,hilbert,1,2,0,0,11976,0,26448,8,62864,20
2,hilbert,1,2,1,0,0,11976,159664,12,280672,14
2,hilbert,1,3,0,0,0,1656,21440,16,12784,10
2,hilbert,1,3,1,0,1656,0,52576,10,151792,12
2,hilbert,1,4,0,0,0,0,0,0,0,0
2,hilbert,1,4,1,0,0,0,0,0,0,0
2,hilbert,1,5,0,1,0,0,0,0,0,0
2,hilbert,1,5,1,1,0,0,0,0,0,0
2,gilbert,1,1,0,0,146560,0,293120,2,625488,12
2,gilbert,1,1,1,0,0,146560,293120,2,1126656,18
2,gilbert,1,2,0,0,3936,0,65856,10,61696,14
2,gilbert,1,2,1,0,0,3936,81024,12,214616,16
2,gilbert,1,3,0,0,0,696,2544,5,1776,3
2,gilbert,1,3,1,0,696,0,7568,6,59056,12
2,gilbert,1,4,0,0,0,0,0,0,0,0
2,gilbert,1,4,1,0,0,0,0,0,0,0
2,gilbert,1,5,0,1,0,0,0,0,0,0
2,gilbert,1,5,1,1,0,0,0,0,0,0
2,rcb,1,1,0,0,163840,0,2293760,3,2621440,3
2,rcb,1,1,1,0,0,163840,163840,1,163840,1
2,rcb,1,2,0,0,0,0,0,0,0,0
2,rcb,1,2,1,0,0,0,0,0,0,0
2,rcb,1,3,0,0,0,0,0,0,0,0
2,rcb,1,3,1,0,0,0,0,0,0,0
2,rcb,1,4,0,0,0,0,0,0,0,0
2,rcb,1,4,1,0,0,0,0,0,0,0
2,rcb,1,5,0,1,0,0,0,0,0,0
2,rcb,1,5,1,1,0,0,0,0,0,0
2,rcbincr,1,1,0,0,163840,0,2293760,3,2621440,3
2,rcbincr,1,1,1,0,0,163840,163840,1,163840,1
2,rcbincr,1,2,0,0,0,0,0,0,0,0
2,rcbincr,1,2,1,0,0,0,0,0,0,0
2,rcbincr,1,3,0,0,0,0,0,0,0,0
2,rcbincr,1,3,1,0,0,0,0,0,0,0
2,rcbincr,1,4,0,0,0,0,0,0,0,0
2,rcbincr,1,4,1,0,0,0,0,0,0,0
2,rcbincr,1,5,0,1,0,0,0,0,0,0
2,rcbincr,1,5,1,1,0,0,0,0,0,0
4,hilbert,1,1,0,0,171848,0,343696,2,726984,22
4,hilbert,1,1,1,0,128280,171848,600256,2,1115624,36
4,hilbert,1,1,2,0,394936,524288,2396016,4,2253336,38
4,hilbert,1,1,3,0,524288,523216,1570720,2,2653296,8
4,hilbert,1,2,0,0,0,23656,85856,18,51184,8
4,hilbert,1,2,1,0,50384,0,498800,32,832080,28
4,hilbert,1,2,2,0,1208,26728,904448,36,863352,20
4,hilbert,1,2,3,0,0,1208,530352,7,110352,13
4,hilbert,1,3,0,0,13224,0,32720,8,68864,18
4,hilbert,1,3,1,0,3440,13224,136320,22,127056,28
4,hilbert,1,3,2,0,0,3696,36688,12,256672,20
4,hilbert,1,3,3,0,256,0,151152,14,1736,10
4,hilbert,1,4,0,0,0,5904,35280,15,37256,13
4,hilbert,1,4,1,0,5904,104,19840,15,37328,13
4,hilbert,1,4,2,0,104,248,59912,10,159672,24
4,hilbert,1,4,3,0,248,0,2704,10,2912,10
4,hilbert,1,5,0,0,0,0,0,0,0,0
4,hilbert,1,5,1,0,0,0,0,0,0,0
4,hilbert,1,5,2,0,0,0,0,0,0,0
4,hilbert,1,5,3,0,0,0,0,0,0,0
4,gilbert,1,1,0,0,347776,262144,2039552,4,2245856,16
4,gilbert,1,1,1,0,433128,347776,1299664,2,2502232,36
4,gilbert,1,1,2,0,326864,433128,1519984,2,2460344,44
4,gilbert,1,1,3,0,262144,326864,1178016,2,2019648,14
4,gilbert,1,2,0,0,70896,0,383136,14,495104,20
4,gilbert,1,2,1,0,0,94144,521696,31,322832,21
4,gilbert,1,2,2,0,23248,60056,831376,40,826520,38
4,gilbert,1,2,3,0,60056,0,781312,12,1188928,16
4,gilbert,1,3,0,0,0,12768,59232,16,39760,12
4,gilbert,1,3,1,0,14904,0,41128,15,119120,27
4,gilbert,1,3,2,0,0,10200,293280,34,257184,34
4,gilbert,1,3,3,0,8064,0,1473200,18,1103896,12
4,gilbert,1,4,0,0,5648,0,30752,12,19520,10
4,gilbert,1,4,1,0,104,5648,58592,16,18392,12
4,gilbert,1,4,2,0,0,496,169040,21,112448,9
4,gilbert,1,4,3,0,392,0,4144,8,4744,10
4,gilbert,1,5,0,0,0,0,0,0,0,0
4,gilbert,1,5,1,0,0,0,0,0,0,0
