ntasks,algo,A,r,R,task,alloced,allocs,concurrent,freed,frees
2,hilbert,,,,0,20971624,8,12582968,20971624,8
2,hilbert,,,,1,20971624,8,12582968,20971624,8
2,hilbert,0.25,0.85,1.2,0,29360232,9,20971576,29360232,9
2,hilbert,0.25,0.85,1.2,1,29360232,9,20971576,29360232,9
2,hilbert,0.25,0.85,1.2,0,29360232,9,20971576,29360232,9
2,hilbert,0.25,0.85,1.2,1,29360232,9,20971576,29360232,9
2,hilbert,0.5,0.6,1.6,0,29360232,9,20971576,29360232,9
2,hilbert,0.5,0.6,1.6,1,29360232,9,20971576,29360232,9
2,hilbert,0.5,0.6,1.6,0,29360232,9,20971576,29360232,9
2,hilbert,0.5,0.6,1.6,1,29360232,9,20971576,29360232,9
2,hilbert,0.05,0.92,1.08,0,29360232,9,20971576,29360232,9
2,hilbert,0.05,0.92,1.08,1,29360232,9,20971576,29360232,9
2,hilbert,0.05,0.92,1.08,0,29360232,9,20971576,29360232,9
2,hilbert,0.05,0.92,1.08,1,29360232,9,20971576,29360232,9
2,rcb,,,,0,8388880,5,8388880,8388664,2
2,rcb,,,,1,8388880,5,8388880,8388664,2
2,rcb,0.25,0.85,1.2,0,16777488,6,16777488,16777272,3
2,rcb,0.25,0.85,1.2,1,16777488,6,16777488,16777272,3
2,rcb,0.25,0.85,1.2,0,16777488,6,16777488,16777272,3
2,rcb,0.25,0.85,1.2,1,16777488,6,16777488,16777272,3
2,rcb,0.5,0.6,1.6,0,16777488,6,16777488,16777272,3
2,rcb,0.5,0.6,1.6,1,16777488,6,16777488,16777272,3
2,rcb,0.5,0.6,1.6,0,16777488,6,16777488,16777272,3
2,rcb,0.5,0.6,1.6,1,16777488,6,16777488,16777272,3
2,rcb,0.05,0.92,1.08,0,16777488,6,16777488,16777272,3
2,rcb,0.05,0.92,1.08,1,16777488,6,16777488,16777272,3
2,rcb,0.05,0.92,1.08,0,16777488,6,16777488,16777272,3
2,rcb,0.05,0.92,1.08,1,16777488,6,16777488,16777272,3
4,hilbert,,,,0,46137544,20,12582968,46137544,20
4,hilbert,,,,1,46137544,20,12582968,46137544,20
4,hilbert,,,,2,46137544,20,12582968,46137544,20
4,hilbert,,,,3,46137544,20,12582968,46137544,20
4,hilbert,0.25,0.85,1.2,0,58720472,23,20971576,58720472,23
4,hilbert,0.25,0.85,1.2,1,58720472,23,20971576,58720472,23
4,hilbert,0.25,0.85,1.2,2,58720472,23,20971576,58720472,23
4,hilbert,0.25,0.85,1.2,3,58720472,23,20971576,58720472,23
4,hilbert,0.25,0.85,1.2,0,50331832,19,20971576,50331832,19
4,hilbert,0.25,0.85,1.2,1,50331832,19,20971576,50331832,19
4,hilbert,0.25,0.85,1.2,2,50331832,19,20971576,50331832,19
