ntasks,algo,A,r,R,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
2,hilbert,,,,1,0,0,421620,0,843240,2,1264860,10
2,hilbert,,,,1,1,0,0,421620,843240,2,1470196,9
2,hilbert,,,,2,0,0,0,42244,112892,8,136184,8
2,hilbert,,,,2,1,0,42244,0,187156,8,229400,7
2,hilbert,,,,3,0,0,24392,0,100480,8,59336,7
2,hilbert,,,,3,1,0,0,24392,62624,6,103768,9
2,hilbert,,,,4,0,0,0,0,0,0,0,0
2,hilbert,,,,4,1,0,0,0,0,0,0,0
2,hilbert,,,,5,0,1,0,0,0,0,0,0
2,hilbert,,,,5,1,1,0,0,0,0,0,0
2,hilbert,,,,6,0,1,0,0,0,0,0,0
2,hilbert,,,,6,1,1,0,0,0,0,0,0
2,hilbert,,,,7,0,1,0,0,0,0,0,0
2,hilbert,,,,7,1,1,0,0,0,0,0,0
2,hilbert,,,,8,0,1,0,0,0,0,0,0
2,hilbert,,,,8,1,1,0,0,0,0,0,0
2,hilbert,,,,9,0,1,0,0,0,0,0,0
2,hilbert,,,,9,1,1,0,0,0,0,0,0
2,hilbert,,,,10,0,1,0,0,0,0,0,0
2,hilbert,,,,10,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,1,0,0,421792,0,843584,2,1265376,9
2,hilbert,0.25,0.85,1.2,1,1,0,0,421792,843584,2,1470368,8
2,hilbert,0.25,0.85,1.2,2,0,0,0,42452,113480,7,136564,10
2,hilbert,0.25,0.85,1.2,2,1,0,42452,0,187400,7,229852,9
2,hilbert,0.25,0.85,1.2,3,0,0,24528,0,100716,10,59708,9
2,hilbert,0.25,0.85,1.2,3,1,0,0,24528,62932,8,103940,10
2,hilbert,0.25,0.85,1.2,4,0,0,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,4,1,0,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,5,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,5,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,6,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,6,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,7,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,7,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,8,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,8,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,9,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,9,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,10,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,10,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,1,0,0,421324,0,842648,2,1263972,12
2,hilbert,0.25,0.85,1.2,1,1,0,0,421324,842648,2,1469900,10
2,hilbert,0.25,0.85,1.2,2,0,0,0,7624,18780,8,15252,3
2,hilbert,0.25,0.85,1.2,2,1,0,7624,0,19908,7,27532,5
2,hilbert,0.25,0.85,1.2,3,0,0,0,5264,18724,4,14996,7
2,hilbert,0.25,0.85,1.2,3,1,0,5264,0,22812,5,28076,8
2,hilbert,0.25,0.85,1.2,4,0,0,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,4,1,0,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,5,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,5,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,6,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,6,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,7,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,7,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,8,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,8,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,9,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,9,1,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,10,0,1,0,0,0,0,0,0
2,hilbert,0.25,0.85,1.2,10,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,1,0,0,422048,0,844096,2,1266144,9
2,hilbert,0.5,0.6,1.6,1,1,0,0,422048,844096,2,1470624,8
2,hilbert,0.5,0.6,1.6,2,0,0,0,42896,114624,7,137264,7
2,hilbert,0.5,0.6,1.6,2,1,0,42896,0,188032,7,230928,8
2,hilbert,0.5,0.6,1.6,3,0,0,24808,0,101088,7,60360,7
2,hilbert,0.5,0.6,1.6,3,1,0,0,24808,63680,7,104408,8
2,hilbert,0.5,0.6,1.6,4,0,0,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,4,1,0,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,5,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,5,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,6,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,6,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,7,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,7,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,8,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,8,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,9,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,9,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,10,0,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,10,1,1,0,0,0,0,0,0
2,hilbert,0.5,0.6,1.6,1,0,0,421988,0,843976,2,1265964,11
2,hilbert,0.5,0.6,1.6,1,1,0,0,421988,843976,2,1470564,10
2,hilbert,0.5,0.6,1.6,2,0,0,0,17356,47100,8,37936,7
2,hilbert,0.5,0.6,1.6,2,1,0,17356,0,38708,7,56064,8
2,hilbert,0.5,0.6,1.6,3,0,0,0,4448,12120,7,11768,7
2,hilbert,0.5,0.6,1.6,3,1,0,4448,0,17960,7,22408,7
2,hilbert,0.5,0.6,1.6,4,0,0,0,0,0,0,0,0
