ntasks,algo,freq,task,alloced,allocs,concurrent,freed,frees
2,hilbert,125,0,82024,8,49208,82024,9
2,hilbert,125,1,82024,8,49208,82024,9
2,hilbert,250,0,65624,6,49208,65624,7
2,hilbert,250,1,65624,6,49208,65624,7
2,hilbert,500,0,65624,6,49208,65624,7
2,hilbert,500,1,65624,6,49208,65624,7
2,gilbert,125,0,82024,8,49208,82024,9
2,gilbert,125,1,82024,8,49208,82024,9
2,gilbert,250,0,65624,6,49208,65624,7
2,gilbert,250,1,65624,6,49208,65624,7
2,gilbert,500,0,65624,6,49208,65624,7
2,gilbert,500,1,65624,6,49208,65624,7
2,rcb,125,0,32824,2,32824,32824,3
2,rcb,125,1,32824,2,32824,32824,3
2,rcb,250,0,32824,2,32824,32824,3
2,rcb,250,1,32824,2,32824,32824,3
2,rcb,500,0,32824,2,32824,32824,3
2,rcb,500,1,32824,2,32824,32824,3
2,rcbincr,125,0,32968,4,32896,32896,4
2,rcbincr,125,1,32968,4,32896,32896,4
2,rcbincr,250,0,32968,4,32896,32896,4
2,rcbincr,250,1,32968,4,32896,32896,4
2,rcbincr,500,0,32968,4,32896,32896,4
2,rcbincr,500,1,32968,4,32896,32896,4
4,hilbert,125,0,196824,22,49208,196824,23
4,hilbert,125,1,196824,22,49208,196824,23
4,hilbert,125,2,196824,22,49208,196824,23
4,hilbert,125,3,196824,22,49208,196824,23
4,hilbert,250,0,196824,22,49208,196824,23
4,hilbert,250,1,196824,22,49208,196824,23
4,hilbert,250,2,196824,22,49208,196824,23
4,hilbert,250,3,196824,22,49208,196824,23
4,hilbert,500,0,147624,16,49208,147624,17
4,hilbert,500,1,147624,16,49208,147624,17
4,hilbert,500,2,147624,16,49208,147624,17
4,hilbert,500,3,147624,16,49208,147624,17
4,gilbert,125,0,196824,22,49208,196824,23
4,gilbert,125,1,196824,22,49208,196824,23
4,gilbert,125,2,196824,22,49208,196824,23
4,gilbert,125,3,196824,22,49208,196824,23
4,gilbert,250,0,196824,22,49208,196824,23
4,gilbert,250,1,196824,22,49208,196824,23
4,gilbert,250,2,196824,22,49208,196824,23
4,gilbert,250,3,196824,22,49208,196824,23
4,gilbert,500,0,131224,14,49208,131224,15
4,gilbert,500,1,131224,14,49208,131224,15
4,gilbert,500,2,131224,14,49208,131224,15
4,gilbert,500,3,131224,14,49208,131224,15
4,rcb,125,0,32824,2,32824,32824,3
4,rcb,125,1,32824,2,32824,32824,3
4,rcb,125,2,32824,2,32824,32824,3
4,rcb,125,3,32824,2,32824,32824,3
4,rcb,250,0,32824,2,32824,32824,3
4,rcb,250,1,32824,2,32824,32824,3
4,rcb,250,2,32824,2,32824,32824,3
4,rcb,250,3,32824,2,32824,32824,3
4,rcb,500,0,32824,2,32824,32824,3
4,rcb,500,1,32824,2,32824,32824,3
4,rcb,500,2,32824,2,32824,32824,3
4,rcb,500,3,32824,2,32824,32824,3
4,rcbincr,125,0,44344,162,32968,44200,161
4,rcbincr,125,1,44344,162,32968,44200,161
4,rcbincr,125,2,44344,162,32968,44200,161
4,rcbincr,125,3,44344,162,32968,44200,161
4,rcbincr,250,0,38440,80,32968,38296,79
4,rcbincr,250,1,38440,80,32968,38296,79
4,rcbincr,250,2,38440,80,32968,38296,79
4,rcbincr,250,3,38440,80,32968,38296,79
4,rcbincr,500,0,35704,42,32968,35560,41
4,rcbincr,500,1,35704,42,32968,35560,41
4,rcbincr,500,2,35704,42,32968,35560,41
4,rcbincr,500,3,35704,42,32968,35560,41
8,hilbert,125,0,377224,44,49208,377224,45
8,hilbert,125,1,377224,44,49208,377224,45
8,hilbert,125,2,377224,44,49208,377224,45
8,hilbert,125,3,377224,44,49208,377224,45
8,hilbert,125,4,377224,44,49208,377224,45
8,hilbert,125,5,377224,44,49208,377224,45
8,hilbert,125,6,377224,44,49208,377224,45
8,hilbert,125,7,377224,44,49208,377224,45
8,hilbert,250,0,311624,36,49208,311624,37
8,hilbert,250,1,311624,36,49208,311624,37
8,hilbert,250,2,311624,36,49208,311624,37
8,hilbert,250,3,311624,36,49208,311624,37
8,hilbert,250,4,311624,36,49208,311624,37
8,hilbert,250,5,311624,36,49208,311624,37
8,hilbert,250,6,311624,36,49208,311624,37
8,hilbert,250,7,311624,36,49208,311624,37
8,hilbert,500,0,229624,26,49208,229624,27
8,hilbert,500,1,229624,26,49208,229624,27
8,hilbert,500,2,229624,26,49208,229624,27
8,hilbert,500,3,229624,26,49208,229624,27
8,hilbert,500,4,229624,26,49208,229624,27
8,hilbert,500,5,229624,26,49208,229624,27
8,hilbert,500,6,229624,26,49208,229624,27
8,hilbert,500,7,229624,26,49208,229624,27
8,gilbert,125,0,377224,44,49208,377224,45
8,gilbert,125,1,377224,44,49208,377224,45
8,gilbert,125,2,377224,44,49208,377224,45
8,gilbert,125,3,377224,44,49208,377224,45
8,gilbert,125,4,377224,44,49208,377224,45
8,gilbert,125,5,377224,44,49208,377224,45
8,gilbert,125,6,377224,44,49208,377224,45
8,gilbert,125,7,377224,44,49208,377224,45
8,gilbert,250,0,311624,36,49208,311624,37
8,gilbert,250,1,311624,36,49208,311624,37
8,gilbert,250,2,311624,36,49208,311624,37
8,gilbert,250,3,311624,36,49208,311624,37
8,gilbert,250,4,311624,36,49208,311624,37
8,gilbert,250,5,311624,36,49208,311624,37
8,gilbert,250,6,311624,36,49208,311624,37
8,gilbert,250,7,311624,36,49208,311624,37
8,gilbert,500,0,229624,26,49208,229624,27
8,gilbert,500,1,229624,26,49208,229624,27
8,gilbert,500,2,229624,26,49208,229624,27
8,gilbert,500,3,229624,26,49208,229624,27
8,gilbert,500,4,229624,26,49208,229624,27
8,gilbert,500,5,229624,26,49208,229624,27
8,gilbert,500,6,229624,26,49208,229624,27
8,gilbert,500,7,229624,26,49208,229624,27
8,rcb,125,0,32824,2,32824,32824,3
8,rcb,125,1,32824,2,32824,32824,3
8,rcb,125,2,32824,2,32824,32824,3
8,rcb,125,3,32824,2,32824,32824,3
8,rcb,125,4,32824,2,32824,32824,3
8,rcb,125,5,32824,2,32824,32824,3
8,rcb,125,6,32824,2,32824,32824,3
8,rcb,125,7,32824,2,32824,32824,3
8,rcb,250,0,32824,2,32824,32824,3
8,rcb,250,1,32824,2,32824,32824,3
8,rcb,250,2,32824,2,32824,32824,3
8,rcb,250,3,32824,2,32824,32824,3
8,rcb,250,4,32824,2,32824,32824,3
8,rcb,250,5,32824,2,32824,32824,3
8,rcb,250,6,32824,2,32824,32824,3
8,rcb,250,7,32824,2,32824,32824,3
8,rcb,500,0,32824,2,32824,32824,3
8,rcb,500,1,32824,2,32824,32824,3
8,rcb,500,2,32824,2,32824,32824,3
8,rcb,500,3,32824,2,32824,32824,3
