ntasks,algo,freq,total_time_s,task_id,work_time_s,switch_time_s,load_balancer_time_s
2,hilbert,125,41.34865,1,36.327874,4.849696,0.015486
2,hilbert,125,41.34865,0,37.89548,3.203781,0.006765
2,hilbert,250,42.393372,1,35.093108,7.128965,0.016164
2,hilbert,250,42.393372,0,39.373962,2.77657,0.00203
2,hilbert,500,41.305454,1,36.619885,4.524537,0.006353
2,hilbert,500,41.305454,0,38.062159,2.998614,0.003208
2,gilbert,125,41.805393,1,36.527307,5.103611,0.020221
2,gilbert,125,41.805393,0,38.073081,3.483988,0.010807
2,gilbert,250,42.14874,1,35.122541,6.854738,0.015842
2,gilbert,250,42.14874,0,39.170634,2.733368,0.0031
2,gilbert,500,41.809392,0,38.727886,2.833812,0.002831
2,gilbert,500,41.809392,1,35.352277,6.292184,0.007902
2,rcb,125,42.561917,1,38.761891,3.636157,0.009845
2,rcb,125,42.561917,0,36.031831,6.272101,0.030694
2,rcb,250,42.852091,1,39.175102,3.5168,0.006499
2,rcb,250,42.852091,0,35.858042,6.747375,0.018282
2,rcb,500,42.395471,1,38.727316,3.511631,0.002569
2,rcb,500,42.395471,0,35.803879,6.355079,0.00906
2,rcbincr,125,42.230205,0,35.7254,6.246532,0.033085
2,rcbincr,125,42.230205,1,38.631163,3.443694,0.00312
2,rcbincr,250,42.36865,1,38.69045,3.524148,0.002194
2,rcbincr,250,42.36865,0,35.858707,6.267578,0.017323
2,rcbincr,500,42.286052,0,35.64836,6.401365,0.009332
2,rcbincr,500,42.286052,1,38.695582,3.43413,0.002984
4,hilbert,125,25.543993,0,19.224489,5.976398,0.011629
4,hilbert,125,25.543993,3,18.469665,6.911852,0.015724
4,hilbert,125,25.543993,1,18.469861,6.854048,0.015344
4,hilbert,125,25.543993,2,17.900727,7.355264,0.02001
4,hilbert,250,26.03578,1,18.018606,7.734253,0.01222
4,hilbert,250,26.03578,3,18.819594,7.054732,0.009303
4,hilbert,250,26.03578,2,17.513464,8.29847,0.014807
4,hilbert,250,26.03578,0,19.390343,6.305305,0.008899
4,hilbert,500,25.91843,2,17.590329,8.053614,0.009442
4,hilbert,500,25.91843,3,18.636069,7.122433,0.006866
4,hilbert,500,25.91843,1,17.625546,8.079708,0.009423
4,hilbert,500,25.91843,0,19.679389,5.904586,0.005654
4,gilbert,125,25.637975,3,18.680244,6.792991,0.019566
4,gilbert,125,25.637975,2,18.058836,7.285992,0.02397
4,gilbert,125,25.637975,1,18.565533,6.846573,0.019629
4,gilbert,125,25.637975,0,19.181276,6.110364,0.015939
4,gilbert,250,26.254708,3,18.799905,7.287669,0.013648
4,gilbert,250,26.254708,0,19.468839,6.441189,0.012987
4,gilbert,250,26.254708,2,17.670083,8.357927,0.018864
4,gilbert,250,26.254708,1,18.148295,7.819739,0.016281
4,gilbert,500,26.122548,2,17.917165,7.929479,0.0116
4,gilbert,500,26.122548,0,19.681236,6.101512,0.009022
4,gilbert,500,26.122548,3,18.613287,7.34559,0.009683
4,gilbert,500,26.122548,1,17.557785,8.346607,0.012193
4,rcb,125,25.992168,0,17.599121,8.040761,0.035781
4,rcb,125,25.992168,1,18.296721,7.462011,0.028897
4,rcb,125,25.992168,2,18.197933,7.601146,0.027133
4,rcb,125,25.992168,3,19.543615,6.163776,0.018035
4,rcb,250,25.770277,3,19.360324,6.134849,0.008228
4,rcb,250,25.770277,0,18.03548,7.401648,0.014157
4,rcb,250,25.770277,1,17.748592,7.803456,0.015047
4,rcb,250,25.770277,2,18.304435,7.284678,0.012841
4,rcb,500,26.543102,3,19.970944,6.305948,0.005252
4,rcb,500,26.543102,2,18.408875,7.966877,0.008373
4,rcb,500,26.543102,0,17.066945,9.154261,0.011914
4,rcb,500,26.543102,1,18.32085,8.016927,0.008749
4,rcbincr,125,25.097446,0,18.782182,5.99184,0.011859
4,rcbincr,125,25.097446,2,17.961117,6.96159,0.014863
4,rcbincr,125,25.097446,3,18.55722,6.264995,0.008383
4,rcbincr,125,25.097446,1,18.530567,6.358926,0.009671
4,rcbincr,250,26.452187,1,18.52656,7.711613,0.016988
4,rcbincr,250,26.452187,3,20.211488,5.968609,0.009864
4,rcbincr,250,26.452187,2,18.110237,8.165662,0.018547
4,rcbincr,250,26.452187,0,16.948235,9.170703,0.022686
4,rcbincr,500,25.989749,2,18.459794,7.358532,0.007367
4,rcbincr,500,25.989749,1,17.720949,8.059132,0.008947
4,rcbincr,500,25.989749,3,19.240383,6.480116,0.005614
4,rcbincr,500,25.989749,0,18.021059,7.645983,0.008532
8,hilbert,125,19.560186,4,9.009588,10.28289,0.020794
8,hilbert,125,19.560186,0,9.765748,9.195912,0.014628
8,hilbert,125,19.560186,7,9.047421,9.9369,0.017616
8,hilbert,125,19.560186,6,9.099255,10.000176,0.019029
8,hilbert,125,19.560186,3,9.125671,9.973032,0.018292
8,hilbert,125,19.560186,2,8.909689,10.256226,0.02097
8,hilbert,125,19.560186,5,8.945273,10.03277,0.019331
8,hilbert,125,19.560186,1,9.171499,10.103679,0.019964
8,hilbert,250,19.747127,4,8.892427,10.568716,0.017448
8,hilbert,250,19.747127,2,8.789635,10.572568,0.017668
8,hilbert,250,19.747127,3,9.119114,10.066714,0.015389
8,hilbert,250,19.747127,7,8.952752,10.274905,0.015217
8,hilbert,250,19.747127,5,8.990037,10.309855,0.016477
8,hilbert,250,19.747127,6,9.085143,10.157266,0.015819
8,hilbert,250,19.747127,1,9.16871,10.239177,0.016083
8,hilbert,250,19.747127,0,9.89425,9.241901,0.011654
8,hilbert,500,20.005518,7,8.838881,10.60324,0.008812
8,hilbert,500,20.005518,4,8.942774,10.73857,0.009945
8,hilbert,500,20.005518,2,8.593899,11.098052,0.010472
8,hilbert,500,20.005518,0,9.905865,9.511419,0.007619
8,hilbert,500,20.005518,6,9.285845,10.157365,0.00845
8,hilbert,500,20.005518,5,8.996133,10.49797,0.00895
8,hilbert,500,20.005518,3,8.945033,10.660148,0.00937
8,hilbert,500,20.005518,1,9.454792,10.27724,0.008483
8,gilbert,125,19.661719,0,9.792491,9.260866,0.02244
