ntasks,algo,freq,task,alloced,allocs,concurrent,freed,frees
2,hilbert,125,0,704616,14,409656,704616,15
2,hilbert,125,1,704616,14,409656,704616,15
2,hilbert,250,0,704616,14,409656,704616,15
2,hilbert,250,1,704616,14,409656,704616,15
2,hilbert,500,0,704616,14,409656,704616,15
2,hilbert,500,1,704616,14,409656,704616,15
2,gilbert,125,0,704616,14,409656,704616,15
2,gilbert,125,1,704616,14,409656,704616,15
2,gilbert,250,0,704616,14,409656,704616,15
2,gilbert,250,1,704616,14,409656,704616,15
2,gilbert,500,0,704616,14,409656,704616,15
2,gilbert,500,1,704616,14,409656,704616,15
2,rcb,125,0,262200,2,262200,262200,3
2,rcb,125,1,262200,2,262200,262200,3
2,rcb,250,0,262200,2,262200,262200,3
2,rcb,250,1,262200,2,262200,262200,3
2,rcb,500,0,262200,2,262200,262200,3
2,rcb,500,1,262200,2,262200,262200,3
2,rcbincr,125,0,262416,5,262272,262344,5
2,rcbincr,125,1,262416,5,262272,262344,5
2,rcbincr,250,0,262416,5,262272,262344,5
2,rcbincr,250,1,262416,5,262272,262344,5
2,rcbincr,500,0,262416,5,262272,262344,5
2,rcbincr,500,1,262416,5,262272,262344,5
4,hilbert,125,0,1147032,26,409656,1147032,27
4,hilbert,125,1,1147032,26,409656,1147032,27
4,hilbert,125,2,1147032,26,409656,1147032,27
4,hilbert,125,3,1147032,26,409656,1147032,27
4,hilbert,250,0,704616,14,409656,704616,15
4,hilbert,250,1,704616,14,409656,704616,15
4,hilbert,250,2,704616,14,409656,704616,15
4,hilbert,250,3,704616,14,409656,704616,15
4,hilbert,500,0,852088,18,409656,852088,19
4,hilbert,500,1,852088,18,409656,852088,19
4,hilbert,500,2,852088,18,409656,852088,19
4,hilbert,500,3,852088,18,409656,852088,19
4,gilbert,125,0,1147032,26,409656,1147032,27
4,gilbert,125,1,1147032,26,409656,1147032,27
4,gilbert,125,2,1147032,26,409656,1147032,27
4,gilbert,125,3,1147032,26,409656,1147032,27
4,gilbert,250,0,852088,18,409656,852088,19
4,gilbert,250,1,852088,18,409656,852088,19
4,gilbert,250,2,852088,18,409656,852088,19
4,gilbert,250,3,852088,18,409656,852088,19
4,gilbert,500,0,852088,18,409656,852088,19
4,gilbert,500,1,852088,18,409656,852088,19
4,gilbert,500,2,852088,18,409656,852088,19
4,gilbert,500,3,852088,18,409656,852088,19
4,rcb,125,0,262200,2,262200,262200,3
4,rcb,125,1,262200,2,262200,262200,3
4,rcb,125,2,262200,2,262200,262200,3
4,rcb,125,3,262200,2,262200,262200,3
4,rcb,250,0,262200,2,262200,262200,3
4,rcb,250,1,262200,2,262200,262200,3
4,rcb,250,2,262200,2,262200,262200,3
4,rcb,250,3,262200,2,262200,262200,3
4,rcb,500,0,262200,2,262200,262200,3
4,rcb,500,1,262200,2,262200,262200,3
4,rcb,500,2,262200,2,262200,262200,3
4,rcb,500,3,262200,2,262200,262200,3
4,rcbincr,125,0,264504,34,262344,264360,33
4,rcbincr,125,1,264504,34,262344,264360,33
4,rcbincr,125,2,264504,34,262344,264360,33
4,rcbincr,125,3,264504,34,262344,264360,33
4,rcbincr,250,0,263352,18,262344,263208,17
4,rcbincr,250,1,263352,18,262344,263208,17
4,rcbincr,250,2,263352,18,262344,263208,17
4,rcbincr,250,3,263352,18,262344,263208,17
4,rcbincr,500,0,262776,10,262344,262632,9
4,rcbincr,500,1,262776,10,262344,262632,9
4,rcbincr,500,2,262776,10,262344,262632,9
4,rcbincr,500,3,262776,10,262344,262632,9
8,hilbert,125,0,2621752,66,409656,2621752,67
8,hilbert,125,1,2621752,66,409656,2621752,67
8,hilbert,125,2,2621752,66,409656,2621752,67
8,hilbert,125,3,2621752,66,409656,2621752,67
8,hilbert,125,4,2621752,66,409656,2621752,67
8,hilbert,125,5,2621752,66,409656,2621752,67
8,hilbert,125,6,2621752,66,409656,2621752,67
8,hilbert,125,7,2621752,66,409656,2621752,67
8,hilbert,250,0,1441976,34,409656,1441976,35
8,hilbert,250,1,1441976,34,409656,1441976,35
8,hilbert,250,2,1441976,34,409656,1441976,35
8,hilbert,250,3,1441976,34,409656,1441976,35
8,hilbert,250,4,1441976,34,409656,1441976,35
8,hilbert,250,5,1441976,34,409656,1441976,35
8,hilbert,250,6,1441976,34,409656,1441976,35
8,hilbert,250,7,1441976,34,409656,1441976,35
8,hilbert,500,0,852088,18,409656,852088,19
8,hilbert,500,1,852088,18,409656,852088,19
8,hilbert,500,2,852088,18,409656,852088,19
8,hilbert,500,3,852088,18,409656,852088,19
8,hilbert,500,4,852088,18,409656,852088,19
8,hilbert,500,5,852088,18,409656,852088,19
8,hilbert,500,6,852088,18,409656,852088,19
8,hilbert,500,7,852088,18,409656,852088,19
8,gilbert,125,0,2179336,54,409656,2179336,55
8,gilbert,125,1,2179336,54,409656,2179336,55
8,gilbert,125,2,2179336,54,409656,2179336,55
8,gilbert,125,3,2179336,54,409656,2179336,55
8,gilbert,125,4,2179336,54,409656,2179336,55
8,gilbert,125,5,2179336,54,409656,2179336,55
8,gilbert,125,6,2179336,54,409656,2179336,55
8,gilbert,125,7,2179336,54,409656,2179336,55
8,gilbert,250,0,1441976,34,409656,1441976,35
8,gilbert,250,1,1441976,34,409656,1441976,35
8,gilbert,250,2,1441976,34,409656,1441976,35
8,gilbert,250,3,1441976,34,409656,1441976,35
8,gilbert,250,4,1441976,34,409656,1441976,35
8,gilbert,250,5,1441976,34,409656,1441976,35
8,gilbert,250,6,1441976,34,409656,1441976,35
8,gilbert,250,7,1441976,34,409656,1441976,35
8,gilbert,500,0,852088,18,409656,852088,19
8,gilbert,500,1,852088,18,409656,852088,19
8,gilbert,500,2,852088,18,409656,852088,19
8,gilbert,500,3,852088,18,409656,852088,19
8,gilbert,500,4,852088,18,409656,852088,19
8,gilbert,500,5,852088,18,409656,852088,19
8,gilbert,500,6,852088,18,409656,852088,19
8,gilbert,500,7,852088,18,409656,852088,19
8,rcb,125,0,262200,2,262200,262200,3
8,rcb,125,1,262200,2,262200,262200,3
8,rcb,125,2,262200,2,262200,262200,3
8,rcb,125,3,262200,2,262200,262200,3
8,rcb,125,4,262200,2,262200,262200,3
8,rcb,125,5,262200,2,262200,262200,3
8,rcb,125,6,262200,2,262200,262200,3
8,rcb,125,7,262200,2,262200,262200,3
8,rcb,250,0,262200,2,262200,262200,3
8,rcb,250,1,262200,2,262200,262200,3
8,rcb,250,2,262200,2,262200,262200,3
8,rcb,250,3,262200,2,262200,262200,3
8,rcb,250,4,262200,2,262200,262200,3
8,rcb,250,5,262200,2,262200,262200,3
8,rcb,250,6,262200,2,262200,262200,3
8,rcb,250,7,262200,2,262200,262200,3
8,rcb,500,0,262200,2,262200,262200,3
8,rcb,500,1,262200,2,262200,262200,3
8,rcb,500,2,262200,2,262200,262200,3
8,rcb,500,3,262200,2,262200,262200,3
8,rcb,500,4,262200,2,262200,262200,3
8,rcb,500,5,262200,2,262200,262200,3
8,rcb,500,6,262200,2,262200,262200,3
8,rcb,500,7,262200,2,262200,262200,3
8,rcbincr,125,0,266808,66,262488,266520,63
8,rcbincr,125,1,266808,66,262488,266520,63
8,rcbincr,125,2,266808,66,262488,266520,63
8,rcbincr,125,3,266808,66,262488,266520,63
8,rcbincr,125,4,266808,66,262488,266520,63
8,rcbincr,125,5,266808,66,262488,266520,63
8,rcbincr,125,6,266808,66,262488,266520,63
8,rcbincr,125,7,266808,66,262488,266520,63
8,rcbincr,250,0,264504,34,262488,264216,31
8,rcbincr,250,1,264504,34,262488,264216,31
8,rcbincr,250,2,264504,34,262488,264216,31
8,rcbincr,250,3,264504,34,262488,264216,31
8,rcbincr,250,4,264504,34,262488,264216,31
8,rcbincr,250,5,264504,34,262488,264216,31
8,rcbincr,250,6,264504,34,262488,264216,31
8,rcbincr,250,7,264504,34,262488,264216,31
8,rcbincr,500,0,263352,18,262488,263064,15
8,rcbincr,500,1,263352,18,262488,263064,15
8,rcbincr,500,2,263352,18,262488,263064,15
8,rcbincr,500,3,263352,18,262488,263064,15
8,rcbincr,500,4,263352,18,262488,263064,15
8,rcbincr,500,5,263352,18,262488,263064,15
8,rcbincr,500,6,263352,18,262488,263064,15
8,rcbincr,500,7,263352,18,262488,263064,15
16,hilbert,125,0,2621752,66,409656,2621752,67
16,hilbert,125,1,2621752,66,409656,2621752,67
16,hilbert,125,2,2621752,66,409656,2621752,67
16,hilbert,125,3,2621752,66,409656,2621752,67
16,hilbert,125,4,2621752,66,409656,2621752,67
16,hilbert,125,5,2621752,66,409656,2621752,67
16,hilbert,125,6,2621752,66,409656,2621752,67
16,hilbert,125,7,2621752,66,409656,2621752,67
16,hilbert,125,8,2621752,66,409656,2621752,67
16,hilbert,125,9,2621752,66,409656,2621752,67
16,hilbert,125,10,2621752,66,409656,2621752,67
16,hilbert,125,11,2621752,66,409656,2621752,67
16,hilbert,125,12,2621752,66,409656,2621752,67
16,hilbert,125,13,2621752,66,409656,2621752,67
16,hilbert,125,14,2621752,66,409656,2621752,67
16,hilbert,125,15,2621752,66,409656,2621752,67
16,hilbert,250,0,1441976,34,409656,1441976,35
16,hilbert,250,1,1441976,34,409656,1441976,35
16,hilbert,250,2,1441976,34,409656,1441976,35
16,hilbert,250,3,1441976,34,409656,1441976,35
16,hilbert,250,4,1441976,34,409656,1441976,35
16,hilbert,250,5,1441976,34,409656,1441976,35
16,hilbert,250,6,1441976,34,409656,1441976,35
16,hilbert,250,7,1441976,34,409656,1441976,35
16,hilbert,250,8,1441976,34,409656,1441976,35
16,hilbert,250,9,1441976,34,409656,1441976,35
16,hilbert,250,10,1441976,34,409656,1441976,35
16,hilbert,250,11,1441976,34,409656,1441976,35
16,hilbert,250,12,1441976,34,409656,1441976,35
16,hilbert,250,13,1441976,34,409656,1441976,35
16,hilbert,250,14,1441976,34,409656,1441976,35
16,hilbert,250,15,1441976,34,409656,1441976,35
16,hilbert,500,0,852088,18,409656,852088,19
16,hilbert,500,1,852088,18,409656,852088,19
16,hilbert,500,2,852088,18,409656,852088,19
16,hilbert,500,3,852088,18,409656,852088,19
16,hilbert,500,4,852088,18,409656,852088,19
16,hilbert,500,5,852088,18,409656,852088,19
16,hilbert,500,6,852088,18,409656,852088,19
16,hilbert,500,7,852088,18,409656,852088,19
16,hilbert,500,8,852088,18,409656,852088,19
