ntasks,algo,freq,total_time_s,task_id,work_time_s,switch_time_s,load_balancer_time_s
2,hilbert,125,89.668686,1,78.324952,11.20686,0.094105
2,hilbert,125,89.668686,0,88.0892,1.401779,0.00602
2,hilbert,250,89.243732,0,87.431227,1.534326,0.005196
2,hilbert,250,89.243732,1,78.859036,10.298364,0.04155
2,hilbert,500,90.37871,1,77.904824,12.399189,0.031071
2,hilbert,500,90.37871,0,88.674765,1.448334,0.005508
2,gilbert,125,88.931353,0,86.873302,1.724124,0.025463
2,gilbert,125,88.931353,1,78.910014,9.888129,0.088006
2,gilbert,250,89.030617,1,78.896698,10.03023,0.05879
2,gilbert,250,89.030617,0,87.095141,1.612536,0.027295
2,gilbert,500,89.834126,1,78.128238,11.615216,0.04664
2,gilbert,500,89.834126,0,88.053761,1.483015,0.03243
2,rcb,125,85.859932,0,84.409705,1.282197,0.001714
2,rcb,125,85.859932,1,81.115307,4.679864,0.025695
2,rcb,250,86.597055,0,85.163212,1.265793,0.001551
2,rcb,250,86.597055,1,80.325139,6.205195,0.027084
2,rcb,500,88.983323,1,78.648816,10.274558,0.018798
2,rcb,500,88.983323,0,87.588461,1.22623,0.001662
2,rcbincr,125,86.319307,0,84.909552,1.241065,0.001788
2,rcbincr,125,86.319307,1,81.129752,5.125178,0.025434
2,rcbincr,250,86.77451,0,85.362262,1.243555,0.002035
2,rcbincr,250,86.77451,1,80.244607,6.465908,0.024517
2,rcbincr,500,89.797212,0,88.374767,1.253803,0.001677
2,rcbincr,500,89.797212,1,78.686862,11.047863,0.021674
4,hilbert,125,48.695955,3,39.965231,8.587922,0.057922
4,hilbert,125,48.695955,2,38.620846,9.960423,0.070833
4,hilbert,125,48.695955,1,40.706111,7.881159,0.051911
4,hilbert,125,48.695955,0,45.56244,2.88552,0.012971
4,hilbert,250,50.19605,1,39.666475,10.449219,0.036219
4,hilbert,250,50.19605,3,38.890166,11.190909,0.039214
4,hilbert,250,50.19605,0,47.217158,2.749859,0.007085
4,hilbert,250,50.19605,2,38.874245,11.233478,0.043849
4,hilbert,500,54.431262,2,42.705825,11.645743,0.030546
4,hilbert,500,54.431262,0,51.642819,2.531127,0.011062
4,hilbert,500,54.431262,3,34.251327,20.05449,0.046206
4,hilbert,500,54.431262,1,36.395368,17.91722,0.042048
4,gilbert,125,48.569198,3,38.27511,10.08294,0.11071
4,gilbert,125,48.569198,1,41.912546,6.495995,0.079299
4,gilbert,125,48.569198,2,42.200673,6.24587,0.076935
4,gilbert,125,48.569198,0,42.586432,5.603456,0.075557
4,gilbert,250,51.298357,2,41.721454,9.467856,0.061666
4,gilbert,250,51.298357,0,44.648163,6.296049,0.051083
4,gilbert,250,51.298357,3,36.632966,14.490887,0.081382
4,gilbert,250,51.298357,1,41.618798,9.526559,0.05937
4,gilbert,500,54.45722,2,44.672042,9.684661,0.051013
4,gilbert,500,54.45722,1,37.754621,16.560669,0.062928
4,gilbert,500,54.45722,3,32.793821,21.494871,0.075454
4,gilbert,500,54.45722,0,49.290766,4.853626,0.04029
4,rcb,125,56.815559,0,54.439026,2.232306,0.01102
4,rcb,125,56.815559,3,31.445357,25.13751,0.193522
4,rcb,125,56.815559,1,29.137951,27.424475,0.212266
4,rcb,125,56.815559,2,49.485727,7.23615,0.048717
4,rcb,250,58.227686,0,55.859515,2.230234,0.005042
4,rcb,250,58.227686,2,49.787401,8.360224,0.033967
4,rcb,250,58.227686,3,30.213752,27.860664,0.1128
4,rcb,250,58.227686,1,28.427628,29.637972,0.119848
4,rcb,500,61.313312,3,27.439013,33.761817,0.069411
4,rcb,500,61.313312,1,27.009847,34.18797,0.070152
4,rcb,500,61.313312,0,58.969489,2.20946,0.002624
4,rcb,500,61.313312,2,50.747997,10.497233,0.019702
4,rcbincr,125,56.46518,0,54.091421,2.228574,0.011806
4,rcbincr,125,56.46518,1,29.134056,27.077878,0.212639
4,rcbincr,125,56.46518,2,49.217547,7.151702,0.050236
4,rcbincr,125,56.46518,3,31.536878,24.696217,0.193195
4,rcbincr,250,58.667047,3,29.118871,29.391994,0.114443
4,rcbincr,250,58.667047,2,49.342912,9.245167,0.032645
4,rcbincr,250,58.667047,1,29.662912,28.848363,0.112012
4,rcbincr,250,58.667047,0,56.315262,2.212394,0.005735
4,rcbincr,500,61.090009,0,58.75703,2.200172,0.002853
4,rcbincr,500,61.090009,3,27.505575,33.474517,0.067216
4,rcbincr,500,61.090009,2,50.862712,10.161219,0.017894
4,rcbincr,500,61.090009,1,27.051943,33.926122,0.068
8,hilbert,125,29.469282,1,20.536015,8.692128,0.057032
8,hilbert,125,29.469282,7,17.732373,11.496152,0.080524
8,hilbert,125,29.469282,2,20.936746,8.295016,0.055153
8,hilbert,125,29.469282,0,24.182129,5.01943,0.029891
8,hilbert,125,29.469282,4,20.682333,8.573014,0.060557
8,hilbert,125,29.469282,3,19.948745,9.379756,0.063221
8,hilbert,125,29.469282,6,20.736413,8.507464,0.056482
8,hilbert,125,29.469282,5,20.142211,9.189236,0.061516
8,hilbert,250,32.262106,7,17.556283,14.474828,0.059677
8,hilbert,250,32.262106,0,27.088267,4.906749,0.02255
8,hilbert,250,32.262106,3,18.573811,13.507729,0.056279
8,hilbert,250,32.262106,2,20.677094,11.362852,0.046703
8,hilbert,250,32.262106,6,19.671818,12.366226,0.05089
8,hilbert,250,32.262106,5,18.937721,13.175501,0.054825
8,hilbert,250,32.262106,4,23.557467,8.560853,0.039221
8,hilbert,250,32.262106,1,19.339622,12.693163,0.051594
8,hilbert,500,39.59062,5,16.271088,23.18558,0.050289
8,hilbert,500,39.59062,2,20.401763,18.978044,0.041193
8,hilbert,500,39.59062,7,15.808606,23.563191,0.050722
8,hilbert,500,39.59062,3,15.863212,23.554959,0.051111
8,hilbert,500,39.59062,6,18.600362,20.779281,0.045011
8,hilbert,500,39.59062,1,17.695726,21.677808,0.046235
8,hilbert,500,39.59062,4,26.312048,13.143477,0.031763
8,hilbert,500,39.59062,0,33.92996,5.425573,0.014016
8,gilbert,125,30.054357,0,24.065107,5.551292,0.141758
8,gilbert,125,30.054357,2,20.420261,9.264177,0.169419
8,gilbert,125,30.054357,6,20.555774,9.131178,0.174281
8,gilbert,125,30.054357,7,17.990691,11.706309,0.189486
8,gilbert,125,30.054357,4,23.345983,6.508497,0.148362
8,gilbert,125,30.054357,5,19.899125,9.815958,0.172656
8,gilbert,125,30.054357,1,19.261595,10.419778,0.179623
8,gilbert,125,30.054357,3,20.170889,9.563908,0.169899
8,gilbert,250,32.488383,4,24.447671,7.89748,0.087095
8,gilbert,250,32.488383,3,19.701731,12.526106,0.101361
8,gilbert,250,32.488383,5,19.052576,13.174542,0.104884
8,gilbert,250,32.488383,6,19.181367,13.015401,0.105473
8,gilbert,250,32.488383,1,18.103908,14.08636,0.110489
