ntasks,algo,freq,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
2,hilbert,125,1,0,0,0,33792000,33792000,250,34316288,252
2,hilbert,125,1,1,0,33792000,0,67313664,498,67584000,500
2,hilbert,125,2,0,0,0,34768000,79916288,1740,80000000,1750
2,hilbert,125,2,1,0,34768000,0,104296192,1742,104304000,1750
2,hilbert,125,3,0,0,0,34870000,80182176,1750,80182000,1750
2,hilbert,125,3,1,0,34870000,0,104609184,1998,104610000,2000
2,hilbert,125,4,0,0,0,34836000,80076304,1502,80076000,1500
2,hilbert,125,4,1,0,34836000,0,104508272,1752,104508000,1750
2,hilbert,125,5,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,5,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,6,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,6,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,7,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,7,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,8,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,8,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,9,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,9,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,10,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,10,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,11,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,11,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,12,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,12,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,13,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,13,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,14,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,14,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,15,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,15,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,125,16,0,1,0,34836000,80076000,1500,80076000,1500
2,hilbert,125,16,1,1,34836000,0,104508000,1750,104508000,1750
2,hilbert,250,1,0,0,0,67584000,67584000,500,68108288,502
2,hilbert,250,1,1,0,67584000,0,134897664,998,135168000,1000
2,hilbert,250,2,0,0,0,70008000,160872240,3988,160956000,4000
2,hilbert,250,2,1,0,70008000,0,210014304,4986,210024000,5000
2,hilbert,250,3,0,0,0,69672000,160152528,3004,160152000,3000
2,hilbert,250,3,1,0,69672000,0,209017344,3506,209016000,3500
2,hilbert,250,4,0,0,0,126810000,261575616,3996,261524000,4000
2,hilbert,250,4,1,0,126810000,0,380201448,4994,380430000,5000
2,hilbert,250,5,0,1,0,126810000,261524000,4000,261524000,4000
2,hilbert,250,5,1,1,126810000,0,380430000,5000,380430000,5000
2,hilbert,250,6,0,1,0,126810000,261524000,4000,261524000,4000
2,hilbert,250,6,1,1,126810000,0,380430000,5000,380430000,5000
2,hilbert,250,7,0,1,0,126810000,261524000,4000,261524000,4000
2,hilbert,250,7,1,1,126810000,0,380430000,5000,380430000,5000
2,hilbert,250,8,0,1,0,126810000,261524000,4000,261524000,4000
2,hilbert,250,8,1,1,126810000,0,380430000,5000,380430000,5000
2,hilbert,500,1,0,0,0,135168000,135168000,1000,135692288,1002
2,hilbert,500,1,1,0,135168000,0,270065664,1998,270336000,2000
2,hilbert,500,2,0,0,0,139480000,320644464,6990,320728000,7000
2,hilbert,500,2,1,0,139480000,0,418431376,7990,418440000,8000
2,hilbert,500,3,0,0,0,277756000,566581520,8996,566520000,9000
2,hilbert,500,3,1,0,277756000,0,832991448,12990,833268000,13000
2,hilbert,500,4,0,0,0,275268000,560617856,7004,560616000,7000
2,hilbert,500,4,1,0,275268000,0,825808976,10006,825804000,10000
2,gilbert,125,1,0,0,0,33792000,33792000,250,34316288,252
2,gilbert,125,1,1,0,33792000,0,67313664,498,67584000,500
2,gilbert,125,2,0,0,0,62159000,126468656,1988,126486000,2000
2,gilbert,125,2,1,0,62159000,0,186250064,2982,186477000,3000
2,gilbert,125,3,0,0,0,63133000,128406224,2000,128406000,2000
2,gilbert,125,3,1,0,63133000,0,189391208,3496,189399000,3500
2,gilbert,125,4,0,0,0,64431000,130775824,1752,130774000,1750
2,gilbert,125,4,1,0,64431000,0,193282616,3748,193293000,3750
2,gilbert,125,5,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,5,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,6,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,6,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,7,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,7,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,8,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,8,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,9,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,9,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,10,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,10,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,11,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,11,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,12,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,12,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,13,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,13,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,14,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,14,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,15,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,15,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,125,16,0,1,0,64431000,130774000,1750,130774000,1750
2,gilbert,125,16,1,1,64431000,0,193293000,3750,193293000,3750
2,gilbert,250,1,0,0,0,67584000,67584000,500,68108288,502
2,gilbert,250,1,1,0,67584000,0,134897664,998,135168000,1000
2,gilbert,250,2,0,0,0,127586000,259542448,4486,259560000,4500
2,gilbert,250,2,1,0,127586000,0,382517992,7974,382758000,8000
2,gilbert,250,3,0,0,0,126910000,257590480,3006,257588000,3000
2,gilbert,250,3,1,0,126910000,0,380732704,6506,380730000,6500
2,gilbert,250,4,0,0,0,125574000,261378048,5490,261404000,5500
2,gilbert,250,4,1,0,125574000,0,376727344,6002,376722000,6000
2,gilbert,250,5,0,1,0,125574000,261404000,5500,261404000,5500
2,gilbert,250,5,1,1,125574000,0,376722000,6000,376722000,6000
2,gilbert,250,6,0,1,0,125574000,261404000,5500,261404000,5500
2,gilbert,250,6,1,1,125574000,0,376722000,6000,376722000,6000
2,gilbert,250,7,0,1,0,125574000,261404000,5500,261404000,5500
2,gilbert,250,7,1,1,125574000,0,376722000,6000,376722000,6000
2,gilbert,250,8,0,1,0,125574000,261404000,5500,261404000,5500
2,gilbert,250,8,1,1,125574000,0,376722000,6000,376722000,6000
2,gilbert,500,1,0,0,0,135168000,135168000,1000,135692288,1002
2,gilbert,500,1,1,0,135168000,0,270065664,1998,270336000,2000
2,gilbert,500,2,0,0,0,257724000,523080704,6990,523096000,7000
2,gilbert,500,2,1,0,257724000,0,772926888,14976,773172000,15000
2,gilbert,500,3,0,0,0,250764000,524337616,7998,524368000,8000
2,gilbert,500,3,1,0,250764000,0,752305920,10010,752292000,10000
2,gilbert,500,4,0,0,0,251612000,527022080,8998,527024000,9000
2,gilbert,500,4,1,0,251612000,0,754834304,10998,754836000,11000
2,rcb,125,1,0,0,0,33792000,33792000,250,34316288,252
2,rcb,125,1,1,0,33792000,0,67313664,498,67584000,500
2,rcb,125,2,0,0,0,35840000,35840000,250,35840000,250
2,rcb,125,2,1,0,35840000,0,71663616,500,71680000,500
2,rcb,125,3,0,0,0,35840000,35840000,250,35840000,250
2,rcb,125,3,1,0,35840000,0,71680000,500,71680000,500
2,rcb,125,4,0,0,0,35840000,35840000,250,35840000,250
2,rcb,125,4,1,0,35840000,0,71680000,500,71680000,500
2,rcb,125,5,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,5,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,6,0,1,0,35840000,35840000,250,35840000,250
2,rcb,125,6,1,1,35840000,0,71680000,500,71680000,500
2,rcb,125,7,0,1,0,35840000,35840000,250,35840000,250
