ntasks,freq,task,segment,mc,mb,fc,fb,bs,br
2,125,0,1,252,34316288,250,33792000,33792000,0
2,125,1,1,500,67584000,498,67313664,0,33792000
2,125,0,2,250,33792000,250,33792000,33792000,0
2,125,1,2,500,67584000,500,67584000,0,33792000
2,125,0,3,250,33792000,250,33792000,33792000,0
2,125,1,3,500,67584000,500,67584000,0,33792000
2,125,0,4,250,33792000,250,33792000,33792000,0
2,125,1,4,500,67584000,500,67584000,0,33792000
2,125,0,5,250,33792000,250,33792000,33792000,0
2,125,1,5,500,67584000,500,67584000,0,33792000
2,125,0,6,250,33792000,250,33792000,33792000,0
2,125,1,6,500,67584000,500,67584000,0,33792000
2,125,0,7,250,33792000,250,33792000,33792000,0
2,125,1,7,500,67584000,500,67584000,0,33792000
2,125,0,8,250,33792000,250,33792000,33792000,0
2,125,1,8,500,67584000,500,67584000,0,33792000
2,125,0,9,250,33792000,250,33792000,33792000,0
2,125,1,9,500,67584000,500,67584000,0,33792000
2,125,0,10,250,33792000,250,33792000,33792000,0
2,125,1,10,500,67584000,500,67584000,0,33792000
2,125,0,11,250,33792000,250,33792000,33792000,0
2,125,1,11,500,67584000,500,67584000,0,33792000
2,125,0,12,250,33792000,250,33792000,33792000,0
2,125,1,12,500,67584000,500,67584000,0,33792000
2,125,0,13,250,33792000,250,33792000,33792000,0
2,125,1,13,500,67584000,500,67584000,0,33792000
2,125,0,14,250,33792000,250,33792000,33792000,0
2,125,1,14,500,67584000,500,67584000,0,33792000
2,125,0,15,250,33792000,250,33792000,33792000,0
2,125,1,15,500,67584000,500,67584000,0,33792000
2,125,0,16,250,33792000,250,33792000,33792000,0
2,125,1,16,500,67584000,500,67584000,0,33792000
2,250,0,1,502,68108288,500,67584000,67584000,0
2,250,1,1,1000,135168000,998,134897664,0,67584000
2,250,0,2,500,67584000,500,67584000,67584000,0
2,250,1,2,1000,135168000,1000,135168000,0,67584000
2,250,0,3,500,67584000,500,67584000,67584000,0
2,250,1,3,1000,135168000,1000,135168000,0,67584000
2,250,0,4,500,67584000,500,67584000,67584000,0
2,250,1,4,1000,135168000,1000,135168000,0,67584000
2,250,0,5,500,67584000,500,67584000,67584000,0
2,250,1,5,1000,135168000,1000,135168000,0,67584000
2,250,0,6,500,67584000,500,67584000,67584000,0
2,250,1,6,1000,135168000,1000,135168000,0,67584000
2,250,0,7,500,67584000,500,67584000,67584000,0
2,250,1,7,1000,135168000,1000,135168000,0,67584000
2,250,0,8,500,67584000,500,67584000,67584000,0
2,250,1,8,1000,135168000,1000,135168000,0,67584000
2,500,0,1,1002,135692288,1000,135168000,135168000,0
2,500,1,1,2000,270336000,1998,270065664,0,135168000
2,500,0,2,1000,135168000,1000,135168000,135168000,0
2,500,1,2,2000,270336000,2000,270336000,0,135168000
2,500,0,3,1000,135168000,1000,135168000,135168000,0
2,500,1,3,2000,270336000,2000,270336000,0,135168000
2,500,0,4,1000,135168000,1000,135168000,135168000,0
2,500,1,4,2000,270336000,2000,270336000,0,135168000
4,125,2,1,500,34880000,498,34740480,0,17440000
4,125,1,1,500,34880000,498,34740480,0,17440000
4,125,0,2,252,52844288,250,52320000,52320000,0
4,125,3,2,500,34880000,498,34740480,0,17440000
4,125,2,2,500,34880000,500,34880000,0,17440000
4,125,1,2,500,34880000,500,34880000,0,17440000
4,125,0,3,250,52320000,250,52320000,52320000,0
4,125,3,3,500,34880000,500,34880000,0,17440000
4,125,2,3,500,34880000,500,34880000,0,17440000
4,125,1,3,500,34880000,500,34880000,0,17440000
4,125,0,4,250,52320000,250,52320000,52320000,0
4,125,3,4,500,34880000,500,34880000,0,17440000
4,125,2,4,500,34880000,500,34880000,0,17440000
4,125,1,4,500,34880000,500,34880000,0,17440000
4,125,0,5,250,52320000,250,52320000,52320000,0
4,125,3,5,500,34880000,500,34880000,0,17440000
4,125,2,5,500,34880000,500,34880000,0,17440000
4,125,1,5,500,34880000,500,34880000,0,17440000
4,125,0,6,250,52320000,250,52320000,52320000,0
4,125,3,6,500,34880000,500,34880000,0,17440000
4,125,2,6,500,34880000,500,34880000,0,17440000
4,125,1,6,500,34880000,500,34880000,0,17440000
4,125,0,7,250,52320000,250,52320000,52320000,0
4,125,3,7,500,34880000,500,34880000,0,17440000
4,125,2,7,500,34880000,500,34880000,0,17440000
4,125,1,7,500,34880000,500,34880000,0,17440000
4,125,0,8,250,52320000,250,52320000,52320000,0
4,125,3,8,500,34880000,500,34880000,0,17440000
4,125,2,8,500,34880000,500,34880000,0,17440000
4,125,1,8,500,34880000,500,34880000,0,17440000
4,125,0,9,250,52320000,250,52320000,52320000,0
4,125,3,9,500,34880000,500,34880000,0,17440000
4,125,2,9,500,34880000,500,34880000,0,17440000
4,125,1,9,500,34880000,500,34880000,0,17440000
4,125,0,10,250,52320000,250,52320000,52320000,0
4,125,3,10,500,34880000,500,34880000,0,17440000
4,125,2,10,500,34880000,500,34880000,0,17440000
4,125,1,10,500,34880000,500,34880000,0,17440000
4,125,0,11,250,52320000,250,52320000,52320000,0
4,125,3,11,500,34880000,500,34880000,0,17440000
4,125,2,11,500,34880000,500,34880000,0,17440000
4,125,1,11,500,34880000,500,34880000,0,17440000
4,125,0,12,250,52320000,250,52320000,52320000,0
4,125,3,12,500,34880000,500,34880000,0,17440000
4,125,2,12,500,34880000,500,34880000,0,17440000
