ntasks,total_time_s,task_id,work_time_s,switch_time_s
2,97.763836,1,65.595846,32.167223
2,97.763836,0,96.404181,1.358397
4,86.723136,1,12.444605,74.277648
4,86.723136,0,84.302326,2.419728
4,86.723136,2,59.60556,27.116677
4,86.723136,3,6.336672,80.385571
8,86.425159,7,0.068455,86.355951
8,86.425159,6,6.322448,80.101941
8,86.425159,1,0.068894,86.355373
8,86.425159,4,58.740077,27.684251
8,86.425159,0,82.937678,3.48625
8,86.425159,3,0.068288,86.356089
8,86.425159,5,0.068925,86.35527
8,86.425159,2,12.338944,74.085313
16,68.731884,6,0.035458,68.695669
16,68.731884,3,0.0363,68.694872
16,68.731884,14,0.035505,68.695499
16,68.731884,15,0.03536,68.695592
16,68.731884,12,6.254298,62.476704
16,68.731884,13,0.036199,68.694753
16,68.731884,10,0.035766,68.695189
16,68.731884,5,12.368548,56.36237
16,68.731884,7,0.035942,68.69524
16,68.731884,11,0.035451,68.695575
16,68.731884,8,57.34986,11.381217
16,68.731884,2,0.035497,68.695545
16,68.731884,4,0.035538,68.695276
16,68.731884,9,1.470915,67.260285
16,68.731884,1,61.881727,6.849374
16,68.731884,0,20.056074,48.674509
32,47.876672,27,0.018985,47.856774
32,47.876672,16,29.732255,18.143422
32,47.876672,3,32.293843,15.582077
32,47.876672,26,0.018609,47.857032
32,47.876672,2,31.276201,16.599584
32,47.876672,10,12.34582,35.530005
32,47.876672,13,0.01898,47.856929
32,47.876672,6,0.018491,47.857356
32,47.876672,31,0.018827,47.856858
32,47.876672,30,0.018776,47.856908
32,47.876672,0,11.463532,36.411708
32,47.876672,28,0.01855,47.857001
32,47.876672,21,0.018635,47.857234
32,47.876672,25,0.018707,47.856866
32,47.876672,22,0.018773,47.857064
32,47.876672,29,0.01872,47.857086
32,47.876672,23,0.018713,47.856877
32,47.876672,14,0.019368,47.85628
32,47.876672,19,0.635715,47.240134
32,47.876672,11,0.019394,47.856344
32,47.876672,17,27.680554,20.195118
32,47.876672,24,6.328937,41.546498
32,47.876672,8,0.018777,47.85701
32,47.876672,7,0.018533,47.857341
32,47.876672,18,0.856318,47.019488
32,47.876672,5,0.019307,47.856385
32,47.876672,15,0.019011,47.8568
32,47.876672,12,0.018471,47.857198
32,47.876672,9,0.018689,47.856997
32,47.876672,4,0.019092,47.856604
32,47.876672,1,8.504073,39.3717
32,47.876672,20,0.019991,47.855793
64,45.911708,23,0.011763,45.899085
64,45.911708,28,0.011344,45.899435
64,45.911708,34,27.452895,18.457987
64,45.911708,2,8.476241,37.434457
64,45.911708,62,0.010578,45.900106
64,45.911708,39,0.010276,45.900552
64,45.911708,48,6.294506,39.616384
64,45.911708,51,0.010838,45.900048
64,45.911708,49,0.010176,45.900675
64,45.911708,53,0.010582,45.899952
64,45.911708,52,0.010681,45.900105
64,45.911708,56,0.011944,45.8988
64,45.911708,44,0.010454,45.900314
64,45.911708,36,0.833411,45.077323
64,45.911708,43,0.010193,45.900647
64,45.911708,35,0.011212,45.899659
64,45.911708,33,0.011543,45.899279
64,45.911708,50,0.011196,45.899393
64,45.911708,41,0.01059,45.899923
64,45.911708,29,0.011206,45.899579
64,45.911708,21,0.011272,45.899674
64,45.911708,37,0.01069,45.899991
64,45.911708,32,29.795706,16.114784
64,45.911708,30,0.01129,45.899479
64,45.911708,12,0.010969,45.899907
64,45.911708,8,0.011135,45.899527
64,45.911708,61,0.010875,45.899861
64,45.911708,60,0.011584,45.899194
64,45.911708,42,0.01042,45.90034
64,45.911708,14,0.010836,45.899959
64,45.911708,54,0.010836,45.900038
64,45.911708,27,0.011452,45.899438
64,45.911708,11,0.01173,45.899166
64,45.911708,45,0.011192,45.89965
64,45.911708,55,0.010973,45.899913
64,45.911708,40,0.010996,45.899743
64,45.911708,58,0.011066,45.899709
64,45.911708,57,0.010964,45.899788
64,45.911708,16,0.011421,45.899493
64,45.911708,38,0.668143,45.242624
64,45.911708,3,0.011455,45.89942
64,45.911708,13,0.011679,45.899206
64,45.911708,47,0.010845,45.900007
64,45.911708,46,0.010649,45.900088
64,45.911708,63,0.010387,45.900403
64,45.911708,1,0.011425,45.899161
64,45.911708,10,0.011052,45.899831
64,45.911708,17,0.011364,45.899296
64,45.911708,5,0.011677,45.89921
64,45.911708,15,0.011245,45.899499
64,45.911708,59,0.01067,45.900042
64,45.911708,19,0.011538,45.899348
64,45.911708,26,0.01144,45.899263
64,45.911708,24,0.011569,45.89918
64,45.911708,7,0.01137,45.899311
64,45.911708,6,32.231248,13.679426
64,45.911708,18,0.011257,45.899502
64,45.911708,20,12.320426,33.590175
64,45.911708,9,0.011699,45.898949
64,45.911708,31,0.011144,45.899638
64,45.911708,4,30.649838,15.261054
64,45.911708,25,0.011735,45.899108
64,45.911708,22,0.011217,45.899508
64,45.911708,0,11.535443,34.374604
