ntasks,freq,task,segment,mc,mb,fc,fb,bs,br
2,125,0,1,252,4225536,250,4160000,4160000,0
2,125,1,1,500,8320000,498,8286720,0,4160000
2,125,0,2,250,4160000,250,4160000,4160000,0
2,125,1,2,500,8320000,500,8320000,0,4160000
2,125,0,3,250,4160000,250,4160000,4160000,0
2,125,1,3,500,8320000,500,8320000,0,4160000
2,125,0,4,250,4160000,250,4160000,4160000,0
2,125,1,4,500,8320000,500,8320000,0,4160000
2,125,0,5,250,4160000,250,4160000,4160000,0
2,125,1,5,500,8320000,500,8320000,0,4160000
2,125,0,6,250,4160000,250,4160000,4160000,0
2,125,1,6,500,8320000,500,8320000,0,4160000
2,125,0,7,250,4160000,250,4160000,4160000,0
2,125,1,7,500,8320000,500,8320000,0,4160000
2,125,0,8,250,4160000,250,4160000,4160000,0
2,125,1,8,500,8320000,500,8320000,0,4160000
2,125,0,9,250,4160000,250,4160000,4160000,0
2,125,1,9,500,8320000,500,8320000,0,4160000
2,125,0,10,250,4160000,250,4160000,4160000,0
2,125,1,10,500,8320000,500,8320000,0,4160000
2,125,0,11,250,4160000,250,4160000,4160000,0
2,125,1,11,500,8320000,500,8320000,0,4160000
2,125,0,12,250,4160000,250,4160000,4160000,0
2,125,1,12,500,8320000,500,8320000,0,4160000
2,125,0,13,250,4160000,250,4160000,4160000,0
2,125,1,13,500,8320000,500,8320000,0,4160000
2,125,0,14,250,4160000,250,4160000,4160000,0
2,125,1,14,500,8320000,500,8320000,0,4160000
2,125,0,15,250,4160000,250,4160000,4160000,0
2,125,1,15,500,8320000,500,8320000,0,4160000
2,125,0,16,250,4160000,250,4160000,4160000,0
2,125,1,16,500,8320000,500,8320000,0,4160000
2,125,0,17,250,4160000,250,4160000,4160000,0
2,125,1,17,500,8320000,500,8320000,0,4160000
2,125,0,18,250,4160000,250,4160000,4160000,0
2,125,1,18,500,8320000,500,8320000,0,4160000
2,125,0,19,250,4160000,250,4160000,4160000,0
2,125,1,19,500,8320000,500,8320000,0,4160000
2,125,0,20,250,4160000,250,4160000,4160000,0
