ntasks,total_time_s,task_id,work_time_s,switch_time_s
2,40.764916,0,34.059273,6.702164
2,40.764916,1,37.376979,3.38429
4,34.986628,0,27.87327,7.109562
4,34.986628,3,7.700225,27.283185
4,34.986628,2,29.292556,5.690419
4,34.986628,1,5.507357,29.475744
8,25.47291,3,5.466155,20.003195
8,25.47291,6,7.67796,17.791423
8,25.47291,1,15.748923,9.720558
8,25.47291,4,16.080438,9.388828
8,25.47291,5,13.078452,12.391096
8,25.47291,0,11.96316,13.505926
8,25.47291,7,0.096718,25.372914
8,25.47291,2,0.099212,25.370563
16,32.365879,9,16.105443,16.256851
16,32.365879,6,5.375192,26.986983
16,32.365879,12,7.552917,24.809539
16,32.365879,0,0.463765,31.897364
16,32.365879,15,0.051468,32.311189
16,32.365879,1,11.436396,20.925819
16,32.365879,14,0.052324,32.310002
16,32.365879,7,0.154957,32.206876
16,32.365879,13,0.192435,32.170182
16,32.365879,11,13.137308,19.225006
16,32.365879,2,0.053534,32.308921
16,32.365879,8,0.053921,32.308144
16,32.365879,5,0.051687,32.31071
16,32.365879,3,15.799413,16.563018
16,32.365879,10,0.051093,32.311144
16,32.365879,4,0.053601,32.308318
32,26.086376,27,0.028539,26.054612
32,26.086376,6,7.505371,18.577564
32,26.086376,3,8.203853,17.879033
32,26.086376,10,0.029192,26.053752
32,26.086376,9,0.027514,26.055609
32,26.086376,20,0.030028,26.052552
32,26.086376,0,0.433409,25.649058
32,26.086376,7,8.433341,17.649464
32,26.086376,18,8.552944,17.529906
32,26.086376,11,0.028487,26.054129
32,26.086376,5,0.030807,26.05161
32,26.086376,2,2.833918,23.248866
32,26.086376,16,0.030975,26.051984
32,26.086376,1,0.028654,26.054156
32,26.086376,8,0.030303,26.052354
32,26.086376,23,4.986592,21.096349
32,26.086376,4,0.029463,26.053157
32,26.086376,17,0.027792,26.055323
32,26.086376,29,0.028168,26.054788
32,26.086376,19,7.793617,18.289241
32,26.086376,26,0.174466,25.908292
32,26.086376,22,7.847149,18.235759
32,26.086376,15,0.133116,25.949934
32,26.086376,30,0.030163,26.051856
32,26.086376,21,0.027751,26.055172
32,26.086376,25,0.097974,25.984846
32,26.086376,31,0.027894,26.054872
32,26.086376,24,7.468184,18.614498
32,26.086376,28,0.029014,26.053759
32,26.086376,13,5.378464,20.704684
32,26.086376,14,0.02914,26.053297
32,26.086376,12,0.037073,26.045657
64,39.220288,54,0.019227,39.197401
64,39.220288,48,4.947699,34.268528
64,39.220288,40,0.019212,39.197141
64,39.220288,52,0.172532,39.043655
64,39.220288,58,0.017944,39.198627
64,39.220288,46,2.431459,36.785036
64,39.220288,61,0.018665,39.197248
64,39.220288,50,0.092937,39.123523
64,39.220288,39,4.108791,35.107749
64,39.220288,62,0.01913,39.197486
64,39.220288,59,0.019059,39.19775
64,39.220288,63,0.018188,39.198174
64,39.220288,37,4.821953,34.394524
64,39.220288,43,0.01805,39.198861
64,39.220288,44,3.872459,35.344108
64,39.220288,56,0.01924,39.196819
64,39.220288,22,0.01869,39.197765
64,39.220288,42,0.018818,39.19807
64,39.220288,33,0.0196,39.196906
64,39.220288,27,1.780767,37.435673
64,39.220288,24,0.029535,39.186619
64,39.220288,32,0.018919,39.197468
64,39.220288,34,0.020038,39.196559
64,39.220288,30,0.128928,39.087473
64,39.220288,12,3.679813,35.53659
64,39.220288,10,0.018951,39.197789
64,39.220288,17,0.018588,39.198129
64,39.220288,28,0.018945,39.197756
64,39.220288,20,0.01924,39.196956
64,39.220288,35,0.018208,39.198308
64,39.220288,29,0.018129,39.19869
64,39.220288,14,3.795807,35.420475
64,39.220288,26,3.589885,35.626715
64,39.220288,2,0.018929,39.197719
64,39.220288,13,3.920127,35.296211
64,39.220288,0,0.430848,38.784629
64,39.220288,16,0.019175,39.19717
64,39.220288,9,0.017496,39.199093
64,39.220288,7,4.20776,35.008796
64,39.220288,4,1.328305,37.888303
64,39.220288,19,0.018584,39.197914
64,39.220288,47,2.499653,36.716923
64,39.220288,41,0.018655,39.198008
64,39.220288,57,0.018743,39.197098
64,39.220288,38,3.752522,35.464271
64,39.220288,49,2.507566,36.708997
64,39.220288,55,0.019003,39.197733
64,39.220288,45,4.049508,35.166988
64,39.220288,53,0.019111,39.197343
64,39.220288,51,0.019274,39.197083
64,39.220288,60,0.019752,39.196805
64,39.220288,11,0.020472,39.196058
64,39.220288,23,0.018919,39.198055
64,39.220288,21,0.018104,39.198827
64,39.220288,6,4.106637,35.110059
64,39.220288,3,0.018743,39.198045
64,39.220288,36,3.750197,35.46547
64,39.220288,25,0.018822,39.19784
64,39.220288,31,0.018964,39.197798
64,39.220288,15,4.736535,34.480247
64,39.220288,18,0.019009,39.197824
64,39.220288,8,0.018781,39.197226
64,39.220288,1,0.019127,39.197256
64,39.220288,5,1.404254,37.811707
