ntasks,freq,algo,segment,max_dt,mean,rel_imbalance,stopped
2,1,rcb,1,3.01,6.01,0.25,0
2,1,rcb,2,0.48,6.01,0.04,0
2,1,rcb,3,0.09,6.01,0.01,0
2,1,rcb,4,0.04,6.01,0,0
2,1,rcb,5,0.04,6.01,0,1
2,1,rcbincr,1,3.01,6.01,0.25,0
2,1,rcbincr,2,0.48,6.01,0.04,0
2,1,rcbincr,3,0.09,6.01,0.01,0
2,1,rcbincr,4,0.04,6.01,0,0
2,1,rcbincr,5,0.04,6.01,0,1
2,1,hilbert,1,3,6.01,0.25,0
2,1,hilbert,2,0.21,6.01,0.02,0
2,1,hilbert,3,0.17,6.01,0.01,0
2,1,hilbert,4,0.04,6.01,0,0
2,1,hilbert,5,0.04,6.01,0,1
2,1,gilbert,1,3,6.01,0.25,0
2,1,gilbert,2,0.2,6.01,0.02,0
2,1,gilbert,3,0.17,6.01,0.01,0
2,1,gilbert,4,0.04,6.01,0,0
2,1,gilbert,5,0.04,6.01,0,1
4,1,rcb,1,3.01,3,0.5,0
4,1,rcb,2,0.5,3,0.06,0
4,1,rcb,3,0.08,3,0.01,0
4,1,rcb,4,0.02,3,0,0
4,1,rcb,5,0.01,3,0,0
4,1,rcbincr,1,3.01,3,0.5,0
4,1,rcbincr,2,0.5,3,0.06,0
4,1,rcbincr,3,0.08,3,0.01,0
4,1,rcbincr,4,0.02,3,0,0
4,1,rcbincr,5,0.02,3,0,0
4,1,hilbert,1,3.01,3,0.5,0
4,1,hilbert,2,0.4,3,0.07,0
4,1,hilbert,3,0.02,3,0,0
4,1,hilbert,4,0,3,0,0
4,1,hilbert,5,0,3,0,0
4,1,gilbert,1,3.01,3,0.5,0
4,1,gilbert,2,0.4,3,0.07,0
4,1,gilbert,3,0.02,3,0,0
4,1,gilbert,4,0,3,0,0
4,1,gilbert,5,0,3,0,0
8,1,rcb,1,1.88,1.5,0.62,0
8,1,rcb,2,0.39,1.5,0.11,0
8,1,rcb,3,0.06,1.5,0.01,0
8,1,rcb,4,0.02,1.5,0.01,0
8,1,rcb,5,0.02,1.5,0.01,0
8,1,rcbincr,1,1.88,1.5,0.62,0
8,1,rcbincr,2,0.39,1.5,0.11,0
8,1,rcbincr,3,0.2,1.5,0.05,0
8,1,rcbincr,4,0.04,1.5,0.01,0
8,1,rcbincr,5,0.02,1.5,0.01,0
8,1,hilbert,1,1.88,1.5,0.62,0
8,1,hilbert,2,0.38,1.5,0.13,0
8,1,hilbert,3,0.04,1.5,0.01,0
8,1,hilbert,4,0.01,1.5,0,0
8,1,hilbert,5,0,1.5,0,0
8,1,gilbert,1,1.88,1.5,0.62,0
8,1,gilbert,2,0.38,1.5,0.13,0
8,1,gilbert,3,0.04,1.5,0.01,0
8,1,gilbert,4,0.01,1.5,0,0
8,1,gilbert,5,0,1.5,0,0
16,1,rcb,1,1.13,0.75,0.75,0
16,1,rcb,2,0.11,0.75,0.04,0
16,1,rcb,3,0.02,0.75,0.01,0
16,1,rcb,4,0.01,0.75,0.01,0
16,1,rcb,5,0.01,0.75,0.01,1
16,1,rcbincr,1,1.13,0.75,0.75,0
16,1,rcbincr,2,0.11,0.75,0.04,0
16,1,rcbincr,3,0.02,0.75,0.01,0
16,1,rcbincr,4,0.01,0.75,0.01,0
16,1,rcbincr,5,0.01,0.75,0.01,1
16,1,hilbert,1,1.13,0.75,0.75,0
16,1,hilbert,2,0.06,0.75,0.04,0
16,1,hilbert,3,0.01,0.75,0.01,0
16,1,hilbert,4,0.01,0.75,0.01,0
16,1,hilbert,5,0.01,0.75,0.01,1
16,1,gilbert,1,1.13,0.75,0.75,0
16,1,gilbert,2,0.06,0.75,0.04,0
16,1,gilbert,3,0.01,0.75,0.01,0
16,1,gilbert,4,0.01,0.75,0.01,0
16,1,gilbert,5,0.01,0.75,0.01,1
32,1,rcb,1,0.61,0.38,0.8,0
32,1,rcb,2,0.05,0.38,0.06,0
32,1,rcb,3,0.17,0.38,0.22,0
32,1,rcb,4,0.03,0.38,0.03,0
32,1,rcb,5,0.01,0.38,0.01,0
32,1,rcbincr,1,0.61,0.38,0.8,0
32,1,rcbincr,2,0.05,0.38,0.06,0
32,1,rcbincr,3,0.17,0.38,0.22,0
32,1,rcbincr,4,0.03,0.38,0.03,0
32,1,rcbincr,5,0.01,0.38,0.02,0
32,1,hilbert,1,0.61,0.38,0.8,0
32,1,hilbert,2,0.05,0.38,0.06,0
32,1,hilbert,3,0.01,0.38,0.01,0
32,1,hilbert,4,0,0.38,0,0
32,1,hilbert,5,0,0.38,0,0
32,1,gilbert,1,0.61,0.38,0.8,0
32,1,gilbert,2,0.05,0.38,0.06,0
32,1,gilbert,3,0.01,0.38,0.01,0
32,1,gilbert,4,0,0.38,0,0
32,1,gilbert,5,0,0.38,0,0
64,1,rcb,1,0.33,0.19,0.86,0
64,1,rcb,2,0.01,0.19,0.02,0
64,1,rcb,3,0.01,0.19,0.02,0
64,1,rcb,4,0.01,0.19,0.02,0
64,1,rcb,5,0.01,0.19,0.02,1
64,1,rcbincr,1,0.33,0.19,0.86,0
64,1,rcbincr,2,0.01,0.19,0.02,0
64,1,rcbincr,3,0.01,0.19,0.02,0
64,1,rcbincr,4,0.01,0.19,0.02,0
64,1,rcbincr,5,0.01,0.19,0.02,1
64,1,hilbert,1,0.33,0.19,0.86,0
64,1,hilbert,2,0.01,0.19,0.03,0
64,1,hilbert,3,0,0.19,0,0
64,1,hilbert,4,0,0.19,0,0
64,1,hilbert,5,0,0.19,0,1
64,1,gilbert,1,0.33,0.19,0.86,0
64,1,gilbert,2,0.01,0.19,0.03,0
64,1,gilbert,3,0,0.19,0,0
64,1,gilbert,4,0,0.19,0,0
64,1,gilbert,5,0,0.19,0,1
