ntasks,algo,A,r,R,S,i,segment,max_dt,mean,rel_imbalance,stopped
2,rcb,,,,True,False,1,4.04,8.01,0.25,0
2,rcb,,,,True,False,2,0.65,8.01,0.04,0
2,rcb,,,,True,False,3,0.12,8.01,0.01,0
2,rcb,,,,True,False,4,0.05,8.01,0,0
2,rcb,,,,True,False,5,1.95,9.01,0.11,1
2,rcb,,,,True,False,6,0.05,8.01,0,1
2,rcb,,,,True,False,7,0.05,8.01,0,1
2,rcb,,,,True,False,8,0.05,8.01,0,1
2,rcb,,,,True,False,9,0.05,8.01,0,1
2,rcb,,,,True,False,10,0.05,8.01,0,1
2,rcb,0.25,0.85,1.2,False,False,1,4.04,8.01,0.25,0
2,rcb,0.25,0.85,1.2,False,False,2,0.64,8.01,0.04,0
2,rcb,0.25,0.85,1.2,False,False,3,0.12,8.01,0.01,0
2,rcb,0.25,0.85,1.2,False,False,4,0.05,8.01,0,0
2,rcb,0.25,0.85,1.2,False,False,5,1.95,9.01,0.11,1
2,rcb,0.25,0.85,1.2,False,False,6,0.05,8.01,0,1
2,rcb,0.25,0.85,1.2,False,False,7,0.05,8.01,0,1
2,rcb,0.25,0.85,1.2,False,False,8,0.05,8.01,0,1
2,rcb,0.25,0.85,1.2,False,False,9,0.05,8.01,0,1
2,rcb,0.25,0.85,1.2,False,False,10,0.05,8.01,0,1
2,rcb,0.25,0.85,1.2,False,True,1,4.03,8.01,0.25,0
2,rcb,0.25,0.85,1.2,False,True,2,0.67,8.01,0.04,0
2,rcb,0.25,0.85,1.2,False,True,3,0.53,8.01,0.03,0
2,rcb,0.25,0.85,1.2,False,True,4,0.43,8.01,0.03,0
2,rcb,0.25,0.85,1.2,False,True,5,1.57,9.01,0.09,1
2,rcb,0.25,0.85,1.2,False,True,6,0.43,8.01,0.03,1
2,rcb,0.25,0.85,1.2,False,True,7,0.43,8.01,0.03,1
2,rcb,0.25,0.85,1.2,False,True,8,0.43,8.01,0.03,1
2,rcb,0.25,0.85,1.2,False,True,9,0.43,8.01,0.03,1
2,rcb,0.25,0.85,1.2,False,True,10,0.43,8.01,0.03,1
2,rcb,0.5,0.6,1.6,False,False,1,4.03,8.01,0.25,0
2,rcb,0.5,0.6,1.6,False,False,2,0.67,8.01,0.04,0
