ntasks,freq,algo,segment,max_dt,mean,rel_imbalance,stopped
2,125,rcb,1,0.02,0.37,0.03,0
2,125,rcb,2,0.01,0.37,0.02,0
2,125,rcb,3,0.04,0.37,0.06,0
2,125,rcb,4,0.04,0.37,0.06,0
2,125,rcb,5,0.03,0.38,0.04,0
2,125,rcb,6,0.02,0.39,0.03,0
2,125,rcb,7,0.04,0.4,0.05,0
2,125,rcb,8,0.05,0.4,0.06,0
2,125,rcb,9,0.06,0.41,0.08,0
2,125,rcb,10,0.01,0.42,0.02,0
2,125,rcb,11,0.01,0.43,0.02,0
2,125,rcb,12,0.03,0.43,0.03,0
2,125,rcb,13,0.02,0.43,0.03,1
2,125,rcb,14,0.02,0.43,0.02,1
2,125,rcb,15,0.02,0.44,0.02,1
2,125,rcb,16,0.01,0.44,0.01,1
2,125,rcb,17,0.02,0.45,0.02,1
2,125,rcb,18,0.03,0.46,0.03,1
2,125,rcb,19,0.01,0.45,0.01,1
2,125,rcb,20,0.02,0.47,0.03,1
2,125,rcb,21,0.02,0.48,0.03,1
2,125,rcb,22,0.02,0.48,0.03,1
2,125,rcb,23,0.01,0.49,0.01,1
2,125,rcb,24,0.03,0.5,0.03,1
2,125,rcb,25,0.02,0.5,0.01,1
2,125,rcb,26,0.02,0.51,0.02,1
2,125,rcb,27,0.02,0.51,0.02,1
2,125,rcb,28,0.02,0.52,0.02,1
2,125,rcb,29,0.02,0.52,0.02,1
2,125,rcb,30,0.02,0.53,0.02,1
2,125,rcb,31,0.02,0.55,0.02,1
2,125,rcb,32,0,0.55,0,1
2,125,rcb,33,0.02,0.56,0.02,1
2,125,rcb,34,0.02,0.56,0.01,1
2,125,rcb,35,0.02,0.57,0.01,1
2,125,rcb,36,0.02,0.58,0.02,1
2,125,rcb,37,0.02,0.59,0.01,1
2,125,rcb,38,0.02,0.6,0.01,1
2,125,rcb,39,0.02,0.61,0.01,1
2,125,rcb,40,0.01,0.61,0.01,1
2,125,rcb,41,0.01,0.61,0.01,1
2,125,rcb,42,0.01,0.62,0.01,1
2,125,rcb,43,0.01,0.63,0.01,1
2,125,rcb,44,0.01,0.64,0.01,1
2,125,rcb,45,0.02,0.65,0.01,1
2,125,rcb,46,0,0.65,0,1
2,125,rcb,47,0.01,0.65,0.01,1
2,125,rcb,48,0.01,0.65,0.01,1
2,125,rcb,49,0.02,0.66,0.01,1
2,125,rcb,50,0.01,0.66,0.01,1
2,125,rcb,51,0.01,0.66,0.01,1
2,125,rcb,52,0.01,0.66,0.01,1
2,125,rcb,53,0.01,0.66,0,1
2,125,rcb,54,0.01,0.67,0.01,1
2,125,rcb,55,0.01,0.67,0.01,1
2,125,rcb,56,0.02,0.67,0.01,1
2,125,rcb,57,0.01,0.68,0.01,1
2,125,rcb,58,0.01,0.68,0.01,1
2,125,rcb,59,0.02,0.68,0.01,1
2,125,rcb,60,0.02,0.68,0.01,1
2,125,rcb,61,0.01,0.68,0.01,1
2,125,rcb,62,0.01,0.68,0.01,1
2,125,rcb,63,0.01,0.68,0.01,1
2,125,rcb,64,0.01,0.69,0.01,1
2,125,rcb,65,0.01,0.69,0.01,1
2,125,rcb,66,0.01,0.68,0,1
2,125,rcbincr,1,0.03,0.37,0.04,0
2,125,rcbincr,2,0.05,0.37,0.06,0
2,125,rcbincr,3,0,0.36,0,0
2,125,rcbincr,4,0.04,0.37,0.05,0
2,125,rcbincr,5,0.03,0.38,0.04,0
2,125,rcbincr,6,0.04,0.38,0.05,0
2,125,rcbincr,7,0.03,0.39,0.04,0
2,125,rcbincr,8,0.03,0.4,0.04,1
2,125,rcbincr,9,0.03,0.4,0.04,1
2,125,rcbincr,10,0.03,0.41,0.04,1
2,125,rcbincr,11,0.03,0.41,0.04,1
2,125,rcbincr,12,0.03,0.42,0.03,1
2,125,rcbincr,13,0.03,0.42,0.04,1
2,125,rcbincr,14,0.02,0.44,0.02,1
2,125,rcbincr,15,0.03,0.44,0.03,1
2,125,rcbincr,16,0.04,0.44,0.04,1
2,125,rcbincr,17,0.03,0.45,0.04,1
2,125,rcbincr,18,0.04,0.45,0.04,1
2,125,rcbincr,19,0.05,0.45,0.05,1
2,125,rcbincr,20,0.04,0.47,0.04,1
2,125,rcbincr,21,0.03,0.48,0.04,1
2,125,rcbincr,22,0.05,0.48,0.05,1
2,125,rcbincr,23,0.04,0.49,0.04,1
2,125,rcbincr,24,0.04,0.49,0.04,1
2,125,rcbincr,25,0.04,0.5,0.04,1
2,125,rcbincr,26,0.05,0.5,0.05,1
2,125,rcbincr,27,0.04,0.51,0.04,1
2,125,rcbincr,28,0.04,0.51,0.04,1
2,125,rcbincr,29,0.06,0.52,0.05,1
2,125,rcbincr,30,0.05,0.53,0.04,1
2,125,rcbincr,31,0.05,0.54,0.05,1
2,125,rcbincr,32,0.05,0.55,0.05,1
2,125,rcbincr,33,0.05,0.55,0.05,1
2,125,rcbincr,34,0.05,0.56,0.04,1
2,125,rcbincr,35,0.04,0.57,0.03,1
2,125,rcbincr,36,0.05,0.58,0.04,1
2,125,rcbincr,37,0.05,0.59,0.05,1
2,125,rcbincr,38,0.05,0.6,0.04,1
2,125,rcbincr,39,0.06,0.61,0.05,1
2,125,rcbincr,40,0.06,0.61,0.05,1
2,125,rcbincr,41,0.07,0.61,0.06,1
2,125,rcbincr,42,0.07,0.62,0.06,1
2,125,rcbincr,43,0.07,0.63,0.06,1
2,125,rcbincr,44,0.08,0.63,0.06,1
2,125,rcbincr,45,0.08,0.64,0.06,1
2,125,rcbincr,46,0.08,0.64,0.06,1
2,125,rcbincr,47,0.09,0.65,0.07,1
2,125,rcbincr,48,0.09,0.65,0.07,1
2,125,rcbincr,49,0.08,0.65,0.06,1
2,125,rcbincr,50,0.08,0.66,0.06,1
2,125,rcbincr,51,0.09,0.66,0.07,1
2,125,rcbincr,52,0.08,0.66,0.06,1
2,125,rcbincr,53,0.09,0.67,0.07,1
2,125,rcbincr,54,0.08,0.66,0.06,1
2,125,rcbincr,55,0.08,0.67,0.06,1
2,125,rcbincr,56,0.07,0.67,0.05,1
2,125,rcbincr,57,0.08,0.67,0.06,1
2,125,rcbincr,58,0.07,0.67,0.06,1
2,125,rcbincr,59,0.07,0.68,0.05,1
2,125,rcbincr,60,0.07,0.68,0.05,1
2,125,rcbincr,61,0.07,0.68,0.05,1
2,125,rcbincr,62,0.07,0.68,0.05,1
2,125,rcbincr,63,0.07,0.68,0.05,1
2,125,rcbincr,64,0.06,0.69,0.05,1
2,125,rcbincr,65,0.06,0.68,0.04,1
2,125,rcbincr,66,0.06,0.68,0.05,1
2,125,hilbert,1,0.04,0.36,0.05,0
2,125,hilbert,2,0.01,0.36,0.01,0
2,125,hilbert,3,0.01,0.36,0.02,0
2,125,hilbert,4,0.01,0.37,0.01,0
2,125,hilbert,5,0,0.38,0,1
2,125,hilbert,6,0,0.38,0.01,1
2,125,hilbert,7,0.01,0.39,0.01,1
2,125,hilbert,8,0.02,0.4,0.02,1
2,125,hilbert,9,0.02,0.4,0.03,1
2,125,hilbert,10,0.05,0.42,0.06,1
2,125,hilbert,11,0.06,0.43,0.07,1
2,125,hilbert,12,0.05,0.42,0.06,1
2,125,hilbert,13,0.06,0.43,0.07,1
2,125,hilbert,14,0.06,0.44,0.07,1
2,125,hilbert,15,0.06,0.44,0.07,1
2,125,hilbert,16,0.06,0.44,0.07,1
2,125,hilbert,17,0.07,0.45,0.07,1
2,125,hilbert,18,0.08,0.46,0.08,1
2,125,hilbert,19,0.08,0.46,0.09,1
2,125,hilbert,20,0.09,0.47,0.09,1
2,125,hilbert,21,0.09,0.48,0.09,1
2,125,hilbert,22,0.1,0.48,0.1,1
2,125,hilbert,23,0.1,0.49,0.1,1
2,125,hilbert,24,0.1,0.49,0.1,1
2,125,hilbert,25,0.1,0.5,0.1,1
2,125,hilbert,26,0.12,0.51,0.12,1
2,125,hilbert,27,0.11,0.51,0.11,1
2,125,hilbert,28,0.01,0.52,0.01,0
2,125,hilbert,29,0.02,0.53,0.02,0
2,125,hilbert,30,0.03,0.54,0.03,0
2,125,hilbert,31,0.02,0.54,0.02,1
2,125,hilbert,32,0.02,0.55,0.02,1
2,125,hilbert,33,0.03,0.56,0.02,1
2,125,hilbert,34,0.02,0.56,0.02,1
2,125,hilbert,35,0.03,0.57,0.02,1
2,125,hilbert,36,0.03,0.58,0.03,1
2,125,hilbert,37,0.02,0.59,0.02,1
2,125,hilbert,38,0.01,0.59,0.01,1
2,125,hilbert,39,0.01,0.61,0.01,1
2,125,hilbert,40,0.02,0.62,0.02,1
2,125,hilbert,41,0.01,0.61,0.01,1
2,125,hilbert,42,0.02,0.62,0.01,1
2,125,hilbert,43,0.03,0.63,0.02,1
2,125,hilbert,44,0.01,0.63,0.01,1
2,125,hilbert,45,0.02,0.64,0.01,1
2,125,hilbert,46,0.02,0.64,0.01,1
2,125,hilbert,47,0.02,0.65,0.02,1
2,125,hilbert,48,0.01,0.65,0.01,1
2,125,hilbert,49,0.02,0.66,0.01,1
2,125,hilbert,50,0.01,0.66,0.01,1
2,125,hilbert,51,0.01,0.66,0.01,1
2,125,hilbert,52,0.02,0.66,0.02,1
2,125,hilbert,53,0.01,0.66,0.01,1
2,125,hilbert,54,0.02,0.67,0.01,1
2,125,hilbert,55,0.01,0.67,0.01,1
2,125,hilbert,56,0.02,0.67,0.01,1
2,125,hilbert,57,0.02,0.68,0.02,1
2,125,hilbert,58,0.01,0.68,0.01,1
2,125,hilbert,59,0.01,0.69,0.01,1
2,125,hilbert,60,0.02,0.68,0.01,1
2,125,hilbert,61,0.01,0.68,0.01,1
2,125,hilbert,62,0.01,0.68,0.01,1
2,125,hilbert,63,0.02,0.68,0.01,1
2,125,hilbert,64,0.01,0.68,0.01,1
2,125,hilbert,65,0.01,0.68,0.01,1
2,125,hilbert,66,0.01,0.69,0,1
2,125,gilbert,1,0.03,0.36,0.05,0
2,125,gilbert,2,0.01,0.36,0.01,0
2,125,gilbert,3,0,0.36,0,0
2,125,gilbert,4,0.02,0.38,0.02,1
2,125,gilbert,5,0.01,0.38,0.01,1
2,125,gilbert,6,0,0.38,0,1
2,125,gilbert,7,0.01,0.39,0.01,1
2,125,gilbert,8,0.01,0.4,0.01,1
2,125,gilbert,9,0.02,0.4,0.02,1
2,125,gilbert,10,0.02,0.41,0.02,1
2,125,gilbert,11,0.02,0.42,0.03,1
2,125,gilbert,12,0.02,0.42,0.03,1
2,125,gilbert,13,0.02,0.42,0.03,1
2,125,gilbert,14,0.03,0.44,0.04,1
2,125,gilbert,15,0.04,0.44,0.04,1
2,125,gilbert,16,0.03,0.44,0.03,1
2,125,gilbert,17,0.03,0.45,0.03,1
2,125,gilbert,18,0.03,0.45,0.04,1
2,125,gilbert,19,0.05,0.46,0.05,1
2,125,gilbert,20,0.04,0.47,0.04,1
2,125,gilbert,21,0.04,0.47,0.05,1
2,125,gilbert,22,0.05,0.48,0.05,1
2,125,gilbert,23,0.05,0.48,0.05,1
2,125,gilbert,24,0.05,0.49,0.05,1
2,125,gilbert,25,0.06,0.5,0.06,1
2,125,gilbert,26,0.05,0.5,0.05,1
2,125,gilbert,27,0.05,0.51,0.05,1
2,125,gilbert,28,0.05,0.51,0.05,1
2,125,gilbert,29,0.06,0.52,0.06,1
2,125,gilbert,30,0.06,0.53,0.06,1
2,125,gilbert,31,0.07,0.54,0.06,1
2,125,gilbert,32,0.07,0.55,0.07,1
2,125,gilbert,33,0.07,0.55,0.06,1
2,125,gilbert,34,0.07,0.56,0.06,1
2,125,gilbert,35,0.07,0.57,0.06,1
2,125,gilbert,36,0.07,0.58,0.06,1
2,125,gilbert,37,0.07,0.58,0.06,1
2,125,gilbert,38,0.07,0.59,0.06,1
2,125,gilbert,39,0.08,0.61,0.06,1
2,125,gilbert,40,0.06,0.61,0.05,1
2,125,gilbert,41,0.06,0.61,0.05,1
2,125,gilbert,42,0.06,0.62,0.05,1
2,125,gilbert,43,0.06,0.63,0.05,1
2,125,gilbert,44,0.06,0.63,0.05,1
2,125,gilbert,45,0.06,0.64,0.05,1
2,125,gilbert,46,0.07,0.64,0.05,1
2,125,gilbert,47,0.07,0.65,0.05,1
2,125,gilbert,48,0.07,0.65,0.05,1
2,125,gilbert,49,0.07,0.65,0.05,1
2,125,gilbert,50,0.06,0.65,0.05,1
2,125,gilbert,51,0.07,0.66,0.05,1
2,125,gilbert,52,0.07,0.66,0.05,1
2,125,gilbert,53,0.08,0.66,0.06,1
2,125,gilbert,54,0.07,0.66,0.05,1
2,125,gilbert,55,0.08,0.67,0.06,1
2,125,gilbert,56,0.07,0.66,0.06,1
2,125,gilbert,57,0.07,0.67,0.05,1
2,125,gilbert,58,0.07,0.67,0.05,1
2,125,gilbert,59,0.07,0.68,0.05,1
2,125,gilbert,60,0.07,0.68,0.05,1
2,125,gilbert,61,0.07,0.68,0.05,1
2,125,gilbert,62,0.06,0.68,0.04,1
2,125,gilbert,63,0.05,0.68,0.04,1
2,125,gilbert,64,0.05,0.68,0.04,1
2,125,gilbert,65,0.05,0.68,0.04,1
2,125,gilbert,66,0.05,0.68,0.04,1
2,250,rcb,1,0.05,0.36,0.07,0
2,250,rcb,2,0.01,0.37,0.01,0
2,250,rcb,3,0.01,0.37,0.01,0
2,250,rcb,4,0.02,0.38,0.02,0
2,250,rcb,5,0.01,0.38,0.01,1
2,250,rcb,6,0.01,0.38,0.02,1
2,250,rcb,7,0.01,0.39,0.02,1
2,250,rcb,8,0,0.4,0,1
2,250,rcb,9,0.01,0.4,0.01,1
2,250,rcb,10,0.02,0.41,0.02,1
2,250,rcb,11,0.01,0.42,0.02,1
2,250,rcb,12,0.01,0.42,0.02,1
2,250,rcb,13,0.01,0.43,0.02,1
