ntasks,freq,algo,segment,max_dt,mean,rel_imbalance,stopped
2,125,rcb,1,2,5.41,0.18,0
2,125,rcb,2,0.13,5.52,0.01,0
2,125,rcb,3,0.14,5.85,0.01,0
2,125,rcb,4,0.15,5.94,0.01,0
2,125,rcb,5,0.13,6.13,0.01,1
2,125,rcb,6,0.09,6.22,0.01,1
2,125,rcb,7,0.13,6.28,0.01,1
2,125,rcb,8,0.2,6.37,0.02,1
2,125,rcb,9,0.16,6.4,0.01,1
2,125,rcb,10,0.13,6.5,0.01,1
2,125,rcb,11,0.23,6.56,0.02,1
2,125,rcb,12,0.2,6.61,0.01,1
2,125,rcb,13,0.2,6.64,0.02,1
2,125,rcbincr,1,1.92,5.36,0.18,0
2,125,rcbincr,2,0.1,5.52,0.01,0
2,125,rcbincr,3,0.08,5.84,0.01,0
2,125,rcbincr,4,0.06,5.92,0.01,0
2,125,rcbincr,5,0.13,6.2,0.01,1
2,125,rcbincr,6,0.04,6.19,0,1
2,125,rcbincr,7,0.08,6.27,0.01,1
2,125,rcbincr,8,0.11,6.34,0.01,1
2,125,rcbincr,9,0.07,6.37,0.01,1
2,125,rcbincr,10,0.12,6.48,0.01,1
2,125,rcbincr,11,0.16,6.54,0.01,1
2,125,rcbincr,12,0.15,6.57,0.01,1
2,125,rcbincr,13,0.12,6.62,0.01,1
2,125,hilbert,1,1.91,5.4,0.18,0
2,125,hilbert,2,0.26,5.57,0.02,0
2,125,hilbert,3,0.11,5.91,0.01,0
2,125,hilbert,4,0.22,5.99,0.02,0
2,125,hilbert,5,0.36,6.17,0.03,1
2,125,hilbert,6,0.46,6.24,0.04,1
2,125,hilbert,7,0.57,6.34,0.04,1
2,125,hilbert,8,0.75,6.43,0.06,1
2,125,hilbert,9,0.85,6.44,0.07,1
2,125,hilbert,10,0.94,6.53,0.07,1
2,125,hilbert,11,1.08,6.59,0.08,1
2,125,hilbert,12,1.19,6.63,0.09,1
2,125,hilbert,13,1.3,6.66,0.1,1
2,125,gilbert,1,1.96,5.43,0.18,0
2,125,gilbert,2,0.03,5.55,0,0
2,125,gilbert,3,0.02,5.88,0,0
2,125,gilbert,4,0.07,5.96,0.01,0
2,125,gilbert,5,0.17,6.14,0.01,1
