ntasks,task_id,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
2,0,48056.0,48056.0,1,4016.0,4016.0,,542900000.0,542900000.0,,24006.0,24006.0,,2100000000.0,2100000000.0,,12000.0,12000.0,,864000000.0,864000000.0,,18020.0,18020.0,,1700000000.0,1700000000.0,
2,1,48056.0,48056.0,1,22013.0,22013.0,,2700000000.0,2700000000.0,,12000.0,12000.0,,864000000.0,864000000.0,,24006.0,24006.0,,2100000000.0,2100000000.0,,18020.0,18020.0,,1700000000.0,1700000000.0,
4,0,48056.0,48056.0,1,4016.0,4016.0,,839200000.0,839200000.0,,72018.0,72018.0,,3600000000.0,3600000000.0,,36000.0,36000.0,,1300000000.0,1300000000.0,,30020.0,30020.0,,1700000000.0,1700000000.0,
4,1,48056.0,48056.0,1,22013.0,22013.0,,1900000000.0,1900000000.0,,36000.0,36000.0,,1300000000.0,1300000000.0,,48006.0,48006.0,,2100000000.0,2100000000.0,,30020.0,30020.0,,1700000000.0,1700000000.0,
4,2,48056.0,48056.0,1,22013.0,22013.0,,1900000000.0,1900000000.0,,36000.0,36000.0,,1300000000.0,1300000000.0,,48006.0,48006.0,,2100000000.0,2100000000.0,,30020.0,30020.0,,1700000000.0,1700000000.0,
4,3,48056.0,48056.0,1,22013.0,22013.0,,1900000000.0,1900000000.0,,36000.0,36000.0,,1300000000.0,1300000000.0,,48006.0,48006.0,,2100000000.0,2100000000.0,,30020.0,30020.0,,1700000000.0,1700000000.0,
8,0,48056.0,48056.0,1,4016.0,4016.0,,1000000000.0,1000000000.0,,168042.0,168042.0,,5300000000.0,5300000000.0,,84000.0,84000.0,,1500000000.0,1500000000.0,,54020.0,54020.0,,1700000000.0,1700000000.0,
8,1,48056.0,48056.0,1,22013.0,22013.0,,1500000000.0,1500000000.0,,84000.0,84000.0,,1500000000.0,1500000000.0,,96006.0,96006.0,,2100000000.0,2100000000.0,,54020.0,54020.0,,1700000000.0,1700000000.0,
8,2,48056.0,48056.0,1,22013.0,22013.0,,1500000000.0,1500000000.0,,84000.0,84000.0,,1500000000.0,1500000000.0,,96006.0,96006.0,,2100000000.0,2100000000.0,,54020.0,54020.0,,1700000000.0,1700000000.0,
8,3,48056.0,48056.0,1,22013.0,22013.0,,1500000000.0,1500000000.0,,84000.0,84000.0,,1500000000.0,1500000000.0,,96006.0,96006.0,,2100000000.0,2100000000.0,,54020.0,54020.0,,1700000000.0,1700000000.0,
8,4,48056.0,48056.0,1,22013.0,22013.0,,1500000000.0,1500000000.0,,84000.0,84000.0,,1500000000.0,1500000000.0,,96006.0,96006.0,,2100000000.0,2100000000.0,,54020.0,54020.0,,1700000000.0,1700000000.0,
8,5,48056.0,48056.0,1,22013.0,22013.0,,1500000000.0,1500000000.0,,84000.0,84000.0,,1500000000.0,1500000000.0,,96006.0,96006.0,,2100000000.0,2100000000.0,,54020.0,54020.0,,1700000000.0,1700000000.0,
8,6,48056.0,48056.0,1,22013.0,22013.0,,1500000000.0,1500000000.0,,84000.0,84000.0,,1500000000.0,1500000000.0,,96006.0,96006.0,,2100000000.0,2100000000.0,,54020.0,54020.0,,1700000000.0,1700000000.0,
8,7,48056.0,48056.0,1,22013.0,22013.0,,1500000000.0,1500000000.0,,84000.0,84000.0,,1500000000.0,1500000000.0,,96006.0,96006.0,,2100000000.0,2100000000.0,,54020.0,54020.0,,1700000000.0,1700000000.0,
16,0,48056.0,48056.0,1,4016.0,4016.0,,1200000000.0,1200000000.0,,360090.0,360090.0,,7900000000.0,7900000000.0,,180000.0,180000.0,,1600000000.0,1600000000.0,,102020.0,102020.0,,1700000000.0,1700000000.0,
16,1,48056.0,48056.0,1,22013.0,22013.0,,1400000000.0,1400000000.0,,180000.0,180000.0,,1600000000.0,1600000000.0,,192006.0,192006.0,,2000000000.0,2000000000.0,,102020.0,102020.0,,1700000000.0,1700000000.0,
16,2,48056.0,48056.0,1,22013.0,22013.0,,1400000000.0,1400000000.0,,180000.0,180000.0,,1600000000.0,1600000000.0,,192006.0,192006.0,,2000000000.0,2000000000.0,,102020.0,102020.0,,1700000000.0,1700000000.0,
16,3,48056.0,48056.0,1,22013.0,22013.0,,1400000000.0,1400000000.0,,180000.0,180000.0,,1600000000.0,1600000000.0,,192006.0,192006.0,,2000000000.0,2000000000.0,,102020.0,102020.0,,1700000000.0,1700000000.0,
