algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
gilbert,2,100,48082.0,48082.0,2,44514.5,44514.5,23615.245171287126,3250000000.0,3250000000.0,1767766952.966369,18003.0,18003.0,8489.52401492569,1732000000.0,1732000000.0,1227537372.1398466,18003.0,18003.0,8489.52401492569,1732000000.0,1732000000.0,1227537372.1398466,18046.0,18046.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,2,100,48083.0,48083.0,2,40514.5,40514.5,17675.548209320128,2700000000.0,2700000000.0,1555634918.6104045,18003.0,18003.0,8489.52401492569,1582000000.0,1582000000.0,1015405337.7838823,18003.0,18003.0,8489.52401492569,1582000000.0,1582000000.0,1015405337.7838823,18047.0,18047.0,0.0,1700000000.0,1700000000.0,0.0
rcb,2,100,48079.0,48079.0,2,13014.5,13014.5,12725.800741014296,1637000000.0,1637000000.0,1503309016.8026001,18003.0,18003.0,8489.52401492569,1532000000.0,1532000000.0,944694659.6652275,18003.0,18003.0,8489.52401492569,1532000000.0,1532000000.0,944694659.6652275,18043.0,18043.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,2,100,48079.0,48079.0,2,13014.5,13014.5,12725.800741014296,1637000000.0,1637000000.0,1503309016.8026001,18003.0,18003.0,8489.52401492569,1532000000.0,1532000000.0,944694659.6652275,18003.0,18003.0,8489.52401492569,1532000000.0,1532000000.0,944694659.6652275,18043.0,18043.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,2,250,48067.0,48067.0,2,38764.5,38764.5,26514.382974151973,3150000000.0,3150000000.0,1767766952.966369,18003.0,18003.0,8489.52401492569,1682000000.0,1682000000.0,1156826694.0211918,18003.0,18003.0,8489.52401492569,1682000000.0,1682000000.0,1156826694.0211918,18031.0,18031.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,2,250,48068.0,48068.0,2,39764.5,39764.5,16614.888037540306,3000000000.0,3000000000.0,1697056274.847714,18003.0,18003.0,8489.52401492569,1682000000.0,1682000000.0,1156826694.0211918,18003.0,18003.0,8489.52401492569,1682000000.0,1682000000.0,1156826694.0211918,18032.0,18032.0,0.0,1700000000.0,1700000000.0,0.0
rcb,2,250,48067.0,48067.0,2,13014.5,13014.5,12725.800741014296,1635750000.0,1635750000.0,1505076783.7555664,18003.0,18003.0,8489.52401492569,1532000000.0,1532000000.0,944694659.6652275,18003.0,18003.0,8489.52401492569,1532000000.0,1532000000.0,944694659.6652275,18031.0,18031.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,2,250,48067.0,48067.0,2,13014.5,13014.5,12725.800741014296,1635750000.0,1635750000.0,1505076783.7555664,18003.0,18003.0,8489.52401492569,1532000000.0,1532000000.0,944694659.6652275,18003.0,18003.0,8489.52401492569,1532000000.0,1532000000.0,944694659.6652275,18031.0,18031.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,2,500,48063.0,48063.0,2,42014.5,42014.5,16968.44142813358,2899999999.5,2899999999.5,1697056274.1406074,18003.0,18003.0,8489.52401492569,1682000000.0,1682000000.0,1156826694.0211918,18003.0,18003.0,8489.52401492569,1682000000.0,1682000000.0,1156826694.0211918,18027.0,18027.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,2,500,48064.0,48064.0,2,36514.5,36514.5,16261.334646947033,2750000000.0,2750000000.0,1626345596.7290592,18003.0,18003.0,8489.52401492569,1632000000.0,1632000000.0,1086116015.902537,18003.0,18003.0,8489.52401492569,1632000000.0,1632000000.0,1086116015.902537,18028.0,18028.0,0.0,1700000000.0,1700000000.0,0.0
