prog_n,ntasks,kw_stat,p_value
100,2,1.5365853658536586,0.6738525497301733
100,4,2.8683035714285725,0.4123790058261211
100,8,1.1253742514970126,0.7709524374635828
100,16,1.4357940327852388,0.6971662748811687
100,32,0.16051202506422943,0.983697152958366
100,64,0.3363934445566263,0.953044634638082
250,2,1.5365853658536586,0.6738525497301733
250,4,2.010785824345149,0.5701710870791292
250,8,1.4683980855855816,0.6895830038415529
250,16,1.3643604973071095,0.7139096737889741
250,32,0.20724808084020588,0.9764108145716996
250,64,1.2163229913939675,0.749092105235343
500,2,1.5365853658536586,0.6738525497301733
500,4,0.43070444104134803,0.9338291301462047
500,8,1.9544526540929432,0.5819138377576389
500,16,1.7423563814036238,0.6275584198881918
500,32,0.92129758722156,0.8202854058173381
500,64,0.6309732011296192,0.8893065833172267
1000,2,1.5365853658536586,0.6738525497301733
1000,4,0.5659298780487814,0.9041856900210926
1000,8,0.18004302103251152,0.9807448582141505
1000,16,2.479925750153116,0.4789298761134845
1000,32,0.21377958533990535,0.9753347331784585
1000,64,3.984398979473187,0.2631536936379639
