prog_n,ntasks,kw_stat,p_value
100,2,5.4634146341463365,0.14084327632766497
100,4,8.245341614906836,0.041204239264810455
100,8,20.263505402160867,0.00014968072657899764
100,16,52.72590153893272,2.0974053623067328e-11
100,32,95.3665376457941,1.540075227636104e-20
100,64,153.2038978055061,5.365111589809043e-33
250,2,3.243902439024388,0.35552700534571746
250,4,8.030715396578547,0.04538115794818766
250,8,20.37592537014806,0.00014185736131624988
250,16,52.739800086807776,2.0831450874151644e-11
250,32,83.67141791743478,5.003933776987161e-18
250,64,152.3816167630542,8.07200096045857e-33
500,2,5.634146341463415,0.13083174074521137
500,4,7.965838509316773,0.04672302193969439
500,8,20.222753202562057,0.0001526215369501362
500,16,46.73059580035743,3.9658190574924474e-10
500,32,89.08889296987064,3.437477271224412e-19
500,64,150.79527447031808,1.7750395718053668e-32
1000,2,1.4259259259259258,0.6994689612538814
1000,4,4.6714618973561475,0.19749675750331455
1000,8,15.55975866212698,0.0013957165876749306
1000,16,41.174810204238156,6.004089089838834e-09
1000,32,78.93658968063194,5.18940384836158e-17
1000,64,137.43119058091864,1.353022935172137e-29
