prog_n,ntasks,kw_stat,p_value
100,2,0.0,1.0
100,4,0.0,1.0
100,8,0.0,1.0
100,16,0.0,1.0
100,32,0.0011248937110196297,0.9999899691096266
100,64,9.300377224227569e-05,0.999999761462021
250,2,0.0,1.0
250,4,0.0,1.0
250,8,0.0,1.0
250,16,0.0,1.0
250,32,0.000758032257964835,0.9999944505291155
250,64,0.0004088212902048998,0.9999978018071067
500,2,0.0,1.0
500,4,0.0,1.0
500,8,0.0,1.0
500,16,0.0,1.0
500,32,0.0011248937110196297,0.9999899691096266
500,64,0.0003419980000411959,0.9999983180634883
1000,2,0.0,1.0
1000,4,0.0,1.0
1000,8,0.0,1.0
1000,16,0.003283898305116603,0.9999499993623857
1000,32,0.0009999370118708758,0.9999915928751693
1000,64,0.0007191799698815681,0.999994871604827
