prog_n,ntasks,kw_stat,p_value
100,2,0.0,1.0
100,4,0.0,1.0
100,8,0.0,1.0
100,16,0.0,1.0
100,32,0.651029777270477,0.8846571889070249
100,64,9.158141774292147,0.027260545367369233
250,2,0.0,1.0
250,4,0.0,1.0
250,8,0.0,1.0
250,16,0.0,1.0
250,32,0.6509589947088664,0.8846736425976928
250,64,9.471873094755267,0.02363247374511185
500,2,0.0,1.0
500,4,0.0,1.0
500,8,0.0,1.0
500,16,0.0,1.0
500,32,0.651029777270477,0.8846571889070249
500,64,7.9733578850990074,0.046565538824962824
1000,2,0.0,1.0
1000,4,0.0,1.0
1000,8,0.0,1.0
1000,16,0.0,1.0
1000,32,0.6509589947088664,0.8846736425976928
1000,64,7.789001743845827,0.05057973963060257
