NTASKS,FREQ,ALGO,segment,max_dt,mean,rel_imbalance,stopped
2,100,gilbert,1,1.3,3.58,0.36,0
2,100,gilbert,2,0.03,3.59,0.01,0
2,100,gilbert,3,0.06,3.71,0.02,0
2,100,gilbert,4,0.01,3.88,0.0,0
2,100,gilbert,5,0.0,3.94,0.0,1
2,100,gilbert,6,0.09,3.98,0.02,1
2,100,gilbert,7,0.11,4.08,0.03,1
2,100,gilbert,8,0.17,4.1,0.04,1
2,100,gilbert,9,0.2,4.13,0.05,1
2,100,gilbert,10,0.19,4.16,0.05,1
2,100,gilbert,11,0.34,4.22,0.08,1
2,100,gilbert,12,0.35,4.25,0.08,1
2,100,gilbert,13,0.42,4.25,0.1,1
2,100,gilbert,14,0.41,4.29,0.09,1
2,100,gilbert,15,0.5,4.33,0.11,1
2,100,gilbert,16,0.53,4.36,0.12,1
2,100,gilbert,17,0.59,4.36,0.13,1
2,100,gilbert,18,0.0,4.38,0.0,0
2,100,gilbert,19,0.01,4.41,0.0,0
2,100,gilbert,20,0.01,4.41,0.0,0
2,100,hilbert,1,1.32,3.6,0.37,0
2,100,hilbert,2,0.18,3.64,0.05,0
2,100,hilbert,3,0.01,3.75,0.0,0
2,100,hilbert,4,0.09,3.92,0.02,0
2,100,hilbert,5,0.08,3.96,0.02,1
2,100,hilbert,6,0.19,4.02,0.05,1
2,100,hilbert,7,0.25,4.12,0.06,1
2,100,hilbert,8,0.25,4.15,0.06,1
2,100,hilbert,9,0.32,4.17,0.08,1
2,100,hilbert,10,0.36,4.21,0.08,1
2,100,hilbert,11,0.47,4.25,0.11,1
2,100,hilbert,12,0.5,4.3,0.12,1
2,100,hilbert,13,0.55,4.29,0.13,1
2,100,hilbert,14,0.09,4.31,0.02,0
2,100,hilbert,15,0.0,4.35,0.0,0
2,100,hilbert,16,0.0,4.38,0.0,0
2,100,hilbert,17,0.02,4.39,0.0,1
2,100,hilbert,18,0.08,4.4,0.02,1
2,100,hilbert,19,0.15,4.42,0.03,1
2,100,hilbert,20,0.22,4.42,0.05,1
2,100,rcb,1,1.38,3.63,0.38,0
2,100,rcb,2,0.12,3.61,0.03,0
2,100,rcb,3,0.12,3.74,0.03,0
2,100,rcb,4,0.13,3.92,0.03,0
2,100,rcb,5,0.14,3.97,0.04,1
2,100,rcb,6,0.12,4.0,0.03,1
2,100,rcb,7,0.13,4.11,0.03,1
2,100,rcb,8,0.12,4.13,0.03,1
2,100,rcb,9,0.11,4.17,0.03,1
2,100,rcb,10,0.14,4.19,0.03,1
2,100,rcb,11,0.18,4.24,0.04,1
2,100,rcb,12,0.16,4.28,0.04,1
2,100,rcb,13,0.16,4.28,0.04,1
2,100,rcb,14,0.16,4.33,0.04,1
2,100,rcb,15,0.17,4.38,0.04,1
2,100,rcb,16,0.2,4.4,0.05,1
2,100,rcb,17,0.19,4.4,0.04,1
2,100,rcb,18,0.2,4.44,0.04,1
2,100,rcb,19,0.19,4.45,0.04,1
2,100,rcb,20,0.18,4.44,0.04,1
2,100,rcbincr,1,1.33,3.62,0.37,0
2,100,rcbincr,2,0.09,3.6,0.03,0
2,100,rcbincr,3,0.1,3.73,0.03,0
2,100,rcbincr,4,0.1,3.9,0.02,0
2,100,rcbincr,5,0.08,3.94,0.02,1
2,100,rcbincr,6,0.1,3.99,0.03,1
2,100,rcbincr,7,0.1,4.09,0.02,1
2,100,rcbincr,8,0.1,4.12,0.03,1
2,100,rcbincr,9,0.08,4.15,0.02,1
2,100,rcbincr,10,0.12,4.18,0.03,1
2,100,rcbincr,11,0.14,4.22,0.03,1
2,100,rcbincr,12,0.12,4.25,0.03,1
2,100,rcbincr,13,0.13,4.27,0.03,1
2,100,rcbincr,14,0.11,4.3,0.03,1
2,100,rcbincr,15,0.14,4.34,0.03,1
2,100,rcbincr,16,0.14,4.39,0.03,1
2,100,rcbincr,17,0.16,4.37,0.04,1
2,100,rcbincr,18,0.17,4.43,0.04,1
2,100,rcbincr,19,0.15,4.43,0.03,1
2,100,rcbincr,20,0.12,4.45,0.03,1
2,250,gilbert,1,3.43,9.07,0.38,0
2,250,gilbert,2,0.07,9.74,0.01,0
2,250,gilbert,3,0.13,10.11,0.01,0
2,250,gilbert,4,0.01,10.37,0.0,0
2,250,gilbert,5,0.49,10.62,0.05,1
2,250,gilbert,6,0.86,10.76,0.08,1
2,250,gilbert,7,1.23,10.95,0.11,1
2,250,gilbert,8,1.58,11.06,0.14,1
2,250,hilbert,1,3.4,9.05,0.38,0
2,250,hilbert,2,0.54,9.79,0.06,0
2,250,hilbert,3,0.39,10.16,0.04,0
2,250,hilbert,4,0.07,10.44,0.01,0
2,250,hilbert,5,0.17,10.65,0.02,0
2,250,hilbert,6,0.49,10.8,0.05,1
2,250,hilbert,7,0.82,10.99,0.07,1
2,250,hilbert,8,1.13,11.06,0.1,1
2,250,rcb,1,3.3,9.01,0.37,0
2,250,rcb,2,0.24,9.74,0.02,0
2,250,rcb,3,0.29,10.12,0.03,0
2,250,rcb,4,0.24,10.38,0.02,0
2,250,rcb,5,0.29,10.6,0.03,1
2,250,rcb,6,0.26,10.78,0.02,1
2,250,rcb,7,0.38,10.94,0.03,1
2,250,rcb,8,0.33,11.06,0.03,1
2,250,rcbincr,1,3.32,9.03,0.37,0
2,250,rcbincr,2,0.19,9.7,0.02,0
2,250,rcbincr,3,0.16,10.07,0.02,0
2,250,rcbincr,4,0.11,10.34,0.01,0
2,250,rcbincr,5,0.2,10.56,0.02,1
2,250,rcbincr,6,0.17,10.73,0.02,1
2,250,rcbincr,7,0.31,10.91,0.03,1
2,250,rcbincr,8,0.25,11.01,0.02,1
2,500,gilbert,1,6.79,18.76,0.36,0
2,500,gilbert,2,0.68,20.44,0.03,0
2,500,gilbert,3,1.08,21.31,0.05,0
2,500,gilbert,4,1.24,21.96,0.06,0
