algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
gilbert,2,100,180317.0,180317.0,2,137410.5,137410.5,51475.2523500371,2840250000.0,2840250000.0,3054347741.335292,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60206.0,60206.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,2,100,180317.0,180317.0,2,138010.5,138010.5,51758.09506251172,2840550000.0,2840550000.0,3053923477.26658,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60206.0,60206.0,0.0,4000000000.0,4000000000.0,0.0
rcb,2,100,180411.0,180411.0,2,55010.5,55010.5,49495.35336271477,2516700000.0,2516700000.0,3087652470.7291784,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60300.0,60300.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,2,100,180315.0,180315.0,2,55010.5,55010.5,49495.35336271477,2461800000.0,2461800000.0,3023871439.0661516,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60204.0,60204.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,2,250,180257.0,180257.0,2,136010.5,136010.5,75658.30426661702,2845000000.0,2845000000.0,3047630226.91402,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60146.0,60146.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,2,250,180257.0,180257.0,2,142510.5,142510.5,63637.488986445715,2846600000.0,2846600000.0,3045367485.214223,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60146.0,60146.0,0.0,4000000000.0,4000000000.0,0.0
rcb,2,250,180291.0,180291.0,2,55010.5,55010.5,49495.35336271477,2516850000.0,2516850000.0,3087440338.6948223,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60180.0,60180.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,2,250,180281.0,180281.0,2,55010.5,55010.5,49495.35336271477,2515150000.0,2515150000.0,3089844501.7508564,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60170.0,60170.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,2,500,180234.0,180234.0,2,150010.5,150010.5,74951.19748543047,2844500000.0,2844500000.0,3048337333.695206,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60123.0,60123.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,2,500,180235.0,180235.0,2,151010.5,151010.5,73536.98392305739,2844250000.0,2844250000.0,3048690887.0857997,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60124.0,60124.0,0.0,4000000000.0,4000000000.0,0.0
rcb,2,500,180251.0,180251.0,2,55010.5,55010.5,49495.35336271477,2516850000.0,2516850000.0,3087440338.6948223,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60140.0,60140.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,2,500,180251.0,180251.0,2,55010.5,55010.5,49495.35336271477,2516600000.0,2516600000.0,3087793892.085416,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60140.0,60140.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,2,1000,180224.0,180224.0,2,146010.5,146010.5,53737.99404983405,2828400000.0,2828400000.0,3071106172.049413,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60113.0,60113.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,2,1000,180227.0,180227.0,2,135010.5,135010.5,63637.488986445715,2832350000.0,2832350000.0,3065520028.4780393,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60116.0,60116.0,0.0,4000000000.0,4000000000.0,0.0
rcb,2,1000,180231.0,180231.0,2,55010.5,55010.5,49495.35336271477,2516850000.0,2516850000.0,3087440338.6948223,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60120.0,60120.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,2,1000,180231.0,180231.0,2,55010.5,55010.5,49495.35336271477,2516300000.0,2516300000.0,3088218156.1541276,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,65002.0,65002.0,35358.16748645212,3150000000.0,3150000000.0,1626345596.7290592,60120.0,60120.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,4,100,180340.0,180340.0,4,195809.75,214009.0,65305.904803853686,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100229.0,100229.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,4,100,180341.0,180341.0,4,193659.75,213609.0,61905.28385296902,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100230.0,100230.0,0.0,4000000000.0,4000000000.0,0.0
rcb,4,100,180392.0,180392.0,4,72509.75,90009.0,34998.5,3034825000.0,3850000000.0,1664351061.4751124,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100281.0,100281.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,4,100,180394.0,180394.0,4,72509.75,90009.0,34998.5,3034950000.0,3850000000.0,1664101161.7887497,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100283.0,100283.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,4,250,180275.0,180275.0,4,195509.75,211009.0,58041.75223276775,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100164.0,100164.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,4,250,180275.0,180275.0,4,195759.75,213509.0,62738.17420239451,3375000000.0,4050000000.0,1456880228.4333465,157503.0,120000.0,75006.0,4275000000.0,3000000000.0,2550000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100164.0,100164.0,0.0,4000000000.0,4000000000.0,0.0
rcb,4,250,180283.0,180283.0,4,72509.75,90009.0,34998.5,3034525000.0,3850000000.0,1664950820.8452685,157503.0,120000.0,75006.0,4250000000.0,3000000000.0,2500000000.0,157503.0,170004.0,25002.0,4250000000.0,4650000000.0,834665601.7032609,100172.0,100172.0,0.0,4000000000.0,4000000000.0,0.0
