prog_n,ntasks,kw_stat,p_value
100,2,1.5602409638554193,0.6684381291992085
100,4,3.0390995260663574,0.3856359967438564
100,8,1.1889797882579485,0.7556486090956663
100,16,2.6511282280746724,0.44859652787781146
100,32,0.8774936472387457,0.8308554302529237
100,64,43.05613926398913,2.394376572285966e-09
250,2,1.4512195121951195,0.6935737175739232
250,4,3.0390995260663574,0.3856359967438564
250,8,1.929697986577188,0.5871255818507222
250,16,2.543094482154595,0.46755326238357997
250,32,0.8774936472387457,0.8308554302529237
250,64,50.20770147900473,7.215502515055149e-11
500,2,1.4512195121951195,0.6935737175739232
500,4,3.0390995260663574,0.3856359967438564
500,8,2.862058706862352,0.4133855735129014
500,16,2.651897260273975,0.4484638395341606
500,32,0.36720685997985564,0.9469302798608544
500,64,69.66288624614107,5.040138543756038e-15
1000,2,1.4512195121951195,0.6935737175739232
1000,4,3.0390995260663574,0.3856359967438564
1000,8,3.20306092560047,0.361364230970919
1000,16,2.43197261848301,0.4877106813851394
1000,32,0.2523187046162874,0.9687315287481486
1000,64,68.8222863121495,7.628045647386863e-15
