prog_n,ntasks,kw_stat,p_value
100,2,0.0,1.0
100,4,0.07653061224490232,0.9944967103830213
100,8,0.0,1.0
100,16,0.0,1.0
100,32,0.0028228064514531303,0.9999601459272119
100,64,1.7111411253955633e-05,0.9999999811745519
250,2,0.0,1.0
250,4,0.07653061224490232,0.9944967103830213
250,8,0.0,1.0
250,16,0.0,1.0
250,32,0.0009999370118708758,0.9999915928751693
250,64,0.01621146534573378,0.9994536876369076
500,2,0.0,1.0
500,4,0.07653061224490232,0.9944967103830213
500,8,0.0,1.0
500,16,0.0,1.0
500,32,0.0009999370118708758,0.9999915928751693
500,64,1.9250327283911412e-05,0.9999999775367042
1000,2,0.0,1.0
1000,4,0.07653061224490232,0.9944967103830213
1000,8,0.0,1.0
1000,16,0.0,1.0
1000,32,0.0009999370118708758,0.9999915928751693
1000,64,1.9250327283911412e-05,0.9999999775367042
