prog_n,ntasks,kw_stat,p_value
100,2,0.0,1.0
100,4,0.0,1.0
100,8,0.0,1.0
100,16,0.0,1.0
100,32,0.0007744885915599302,0.9999942688676283
100,64,0.0002779085575951827,0.9999987679297274
250,2,0.0,1.0
250,4,0.0,1.0
250,8,0.0,1.0
250,16,0.0,1.0
250,32,0.0,1.0
250,64,0.0011194129908579406,0.9999900423128186
500,2,0.0,1.0
500,4,0.0,1.0
500,8,0.0,1.0
500,16,0.0,1.0
500,32,0.0,1.0
500,64,0.00024703174400597184,0.9999989674388796
1000,2,0.0,1.0
1000,4,0.0,1.0
1000,8,0.0,1.0
1000,16,0.0,1.0
1000,32,0.0,1.0
1000,64,0.0002779085575951827,0.9999987679297274
