prog_n,ntasks,kw_stat,p_value
100,2,0.0,1.0
100,4,0.0,1.0
100,8,0.0,1.0
100,16,0.0,1.0
100,32,0.0007744885915599302,0.9999942688676283
100,64,1.9921326025982953,0.5740412170764806
250,2,0.0,1.0
250,4,0.0,1.0
250,8,0.0,1.0
250,16,0.0,1.0
250,32,0.0,1.0
250,64,1.9921326025982953,0.5740412170764806
500,2,0.0,1.0
500,4,0.0,1.0
500,8,0.0,1.0
500,16,0.0,1.0
500,32,0.0,1.0
500,64,3.057050253467549,0.3829125165201712
1000,2,0.0,1.0
1000,4,0.0,1.0
1000,8,0.0,1.0
1000,16,0.0,1.0
1000,32,0.0,1.0
1000,64,1.9928939656391487,0.573882897832775
