prog_n,ntasks,kw_stat,p_value
100,2,6.999999999999999,0.07189777249646521
100,4,15.000000000000007,0.0018166489665723162
100,8,31.000000000000004,8.500480661907429e-07
100,16,,
100,32,,
100,64,,
250,2,6.999999999999999,0.07189777249646521
250,4,15.000000000000004,0.001816648966572319
250,8,31.0,8.500480661907447e-07
250,16,,
250,32,,
250,64,,
500,2,6.999999999999999,0.07189777249646521
500,4,15.000000000000005,0.0018166489665723184
500,8,,
500,16,,
500,32,,
500,64,,
1000,2,6.999999999999999,0.07189777249646521
1000,4,,
1000,8,,
1000,16,,
1000,32,,
1000,64,,
