NTASKS,FREQ,ALGO,segment,max_dt,mean,rel_imbalance,stopped
2,100,gilbert,1,0.02,0.24,0.1,0
2,100,gilbert,2,0.0,0.24,0.0,0
2,100,gilbert,3,0.0,0.24,0.02,0
2,100,gilbert,4,0.0,0.24,0.0,0
2,100,gilbert,5,0.01,0.24,0.03,1
2,100,gilbert,6,0.01,0.25,0.03,1
2,100,gilbert,7,0.0,0.25,0.02,1
2,100,gilbert,8,0.0,0.25,0.01,1
2,100,gilbert,9,0.0,0.26,0.01,1
2,100,gilbert,10,0.02,0.26,0.06,1
2,100,gilbert,11,0.02,0.26,0.08,1
2,100,gilbert,12,0.02,0.27,0.09,1
2,100,gilbert,13,0.03,0.27,0.09,1
2,100,gilbert,14,0.02,0.27,0.09,1
2,100,gilbert,15,0.03,0.28,0.11,1
2,100,gilbert,16,0.03,0.28,0.1,1
2,100,gilbert,17,0.03,0.28,0.11,1
2,100,gilbert,18,0.01,0.28,0.02,0
2,100,gilbert,19,0.01,0.28,0.02,0
2,100,gilbert,20,0.0,0.29,0.02,0
2,100,gilbert,21,0.0,0.3,0.01,1
2,100,gilbert,22,0.01,0.29,0.02,1
2,100,gilbert,23,0.01,0.29,0.02,1
2,100,gilbert,24,0.01,0.3,0.03,1
2,100,gilbert,25,0.01,0.3,0.02,1
2,100,gilbert,26,0.01,0.3,0.04,1
2,100,gilbert,27,0.01,0.3,0.03,1
2,100,gilbert,28,0.01,0.3,0.03,1
2,100,gilbert,29,0.02,0.31,0.05,1
2,100,gilbert,30,0.01,0.31,0.04,1
2,100,gilbert,31,0.02,0.32,0.05,1
2,100,gilbert,32,0.02,0.32,0.05,1
2,100,gilbert,33,0.02,0.32,0.07,1
2,100,gilbert,34,0.02,0.32,0.05,1
2,100,gilbert,35,0.02,0.33,0.07,1
2,100,gilbert,36,0.02,0.33,0.07,1
2,100,gilbert,37,0.02,0.33,0.07,1
2,100,gilbert,38,0.02,0.33,0.07,1
2,100,gilbert,39,0.02,0.34,0.07,1
2,100,gilbert,40,0.03,0.34,0.08,1
2,100,gilbert,41,0.02,0.34,0.06,1
2,100,gilbert,42,0.02,0.34,0.07,1
2,100,gilbert,43,0.02,0.35,0.07,1
2,100,gilbert,44,0.03,0.35,0.08,1
2,100,gilbert,45,0.03,0.36,0.08,1
2,100,gilbert,46,0.03,0.36,0.08,1
2,100,gilbert,47,0.03,0.36,0.09,1
2,100,gilbert,48,0.03,0.37,0.08,1
2,100,gilbert,49,0.03,0.37,0.09,1
2,100,gilbert,50,0.03,0.37,0.08,1
2,100,gilbert,51,0.03,0.37,0.08,1
2,100,gilbert,52,0.03,0.38,0.09,1
2,100,gilbert,53,0.02,0.39,0.06,1
2,100,gilbert,54,0.03,0.39,0.08,1
2,100,gilbert,55,0.03,0.39,0.07,1
2,100,gilbert,56,0.03,0.39,0.07,1
2,100,gilbert,57,0.03,0.4,0.07,1
2,100,gilbert,58,0.03,0.4,0.07,1
2,100,gilbert,59,0.03,0.41,0.07,1
2,100,gilbert,60,0.02,0.41,0.06,1
2,100,gilbert,61,0.03,0.41,0.06,1
2,100,gilbert,62,0.03,0.41,0.06,1
2,100,gilbert,63,0.03,0.42,0.07,1
2,100,gilbert,64,0.03,0.42,0.06,1
2,100,gilbert,65,0.03,0.42,0.07,1
2,100,gilbert,66,0.03,0.43,0.07,1
2,100,gilbert,67,0.03,0.43,0.06,1
2,100,gilbert,68,0.03,0.43,0.08,1
2,100,gilbert,69,0.03,0.43,0.06,1
2,100,gilbert,70,0.02,0.43,0.06,1
2,100,gilbert,71,0.03,0.43,0.06,1
2,100,gilbert,72,0.03,0.44,0.06,1
2,100,gilbert,73,0.03,0.44,0.07,1
2,100,gilbert,74,0.03,0.44,0.08,1
2,100,gilbert,75,0.03,0.44,0.06,1
2,100,gilbert,76,0.03,0.44,0.06,1
2,100,gilbert,77,0.03,0.44,0.06,1
2,100,gilbert,78,0.03,0.44,0.07,1
2,100,gilbert,79,0.03,0.44,0.06,1
2,100,gilbert,80,0.03,0.44,0.07,1
2,100,gilbert,81,0.03,0.45,0.07,1
2,100,gilbert,82,0.03,0.45,0.07,1
2,100,gilbert,83,0.03,0.44,0.06,1
2,100,gilbert,84,0.03,0.45,0.07,1
2,100,gilbert,85,0.03,0.45,0.07,1
2,100,gilbert,86,0.03,0.45,0.06,1
2,100,gilbert,87,0.03,0.45,0.06,1
2,100,gilbert,88,0.03,0.45,0.07,1
2,100,gilbert,89,0.03,0.45,0.07,1
2,100,gilbert,90,0.03,0.45,0.06,1
2,100,gilbert,91,0.03,0.45,0.06,1
2,100,gilbert,92,0.03,0.46,0.06,1
2,100,gilbert,93,0.02,0.45,0.05,1
2,100,gilbert,94,0.02,0.46,0.05,1
2,100,gilbert,95,0.02,0.46,0.05,1
2,100,gilbert,96,0.02,0.46,0.05,1
2,100,gilbert,97,0.02,0.46,0.05,1
2,100,gilbert,98,0.02,0.46,0.04,1
2,100,gilbert,99,0.02,0.46,0.05,1
2,100,gilbert,100,0.02,0.46,0.04,1
2,100,hilbert,1,0.03,0.24,0.12,0
2,100,hilbert,2,0.01,0.24,0.05,0
2,100,hilbert,3,0.0,0.24,0.01,0
2,100,hilbert,4,0.0,0.24,0.01,0
2,100,hilbert,5,0.01,0.25,0.03,0
2,100,hilbert,6,0.0,0.25,0.0,1
2,100,hilbert,7,0.0,0.25,0.02,1
2,100,hilbert,8,0.01,0.26,0.04,1
2,100,hilbert,9,0.0,0.25,0.02,1
2,100,hilbert,10,0.01,0.26,0.03,1
2,100,hilbert,11,0.01,0.26,0.03,1
2,100,hilbert,12,0.01,0.27,0.05,1
2,100,hilbert,13,0.01,0.27,0.03,1
2,100,hilbert,14,0.01,0.27,0.04,1
2,100,hilbert,15,0.02,0.28,0.07,1
2,100,hilbert,16,0.02,0.28,0.06,1
2,100,hilbert,17,0.01,0.28,0.05,1
2,100,hilbert,18,0.01,0.28,0.05,1
2,100,hilbert,19,0.02,0.28,0.06,1
2,100,hilbert,20,0.02,0.29,0.06,1
2,100,hilbert,21,0.02,0.29,0.07,1
2,100,hilbert,22,0.02,0.29,0.07,1
2,100,hilbert,23,0.02,0.29,0.06,1
